[4/15/23 11:03AM] Mts Aurexk used command ::train | Player rights = PLAYER	
[4/15/23 11:05AM] Mts Aurexk used command ::ref | Player rights = PLAYER	
[4/15/23 11:13AM] Mts Aurexk used command ::bank | Player rights = PLAYER	
[4/15/23 11:14AM] Mts Aurexk used command ::train | Player rights = PLAYER	
[4/15/23 11:15AM] Mts Aurexk used command ::vote | Player rights = PLAYER	
[4/15/23 11:16AM] Mts Aurexk used command ::claim | Player rights = PLAYER	
[4/15/23 11:16AM] Mts Aurexk used command ::claimvotes | Player rights = PLAYER	
[4/15/23 11:16AM] Mts Aurexk used command ::claimvote | Player rights = PLAYER	
[4/15/23 11:16AM] Mts Aurexk used command ::reward 1 | Player rights = PLAYER	
[4/15/23 11:17AM] Mts Aurexk used command ::pos | Player rights = PLAYER	
[4/15/23 11:21AM] Mts Aurexk used command ::train | Player rights = PLAYER	
[4/15/23 11:26AM] Mts Aurexk used command ::donate | Player rights = PLAYER	
[4/15/23 11:29AM] Mts Aurexk used command ::veigar | Player rights = PLAYER	
[4/15/23 11:59AM] Mts Aurexk used command ::veigar | Player rights = PLAYER	
[4/15/23 12:29PM] Mts Aurexk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:45PM] Mts Aurexk used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:48PM] Mts Aurexk used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:57PM] Mts Aurexk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:28PM] Mts Aurexk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:29PM] Mts Aurexk used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:38PM] Mts Aurexk used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:58PM] Mts Aurexk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:02PM] Mts Aurexk used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:28PM] Mts Aurexk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Mts Aurexk used command :: ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Mts Aurexk used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Mts Aurexk used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:58PM] Mts Aurexk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:27PM] Mts Aurexk used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:28PM] Mts Aurexk used command ::raider | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:28PM] Mts Aurexk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:29PM] Mts Aurexk used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:29PM] Mts Aurexk used command ::veiger | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:29PM] Mts Aurexk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:31PM] Mts Aurexk used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:33PM] Mts Aurexk used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:53PM] Mts Aurexk used command ::yell hi yt | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:58PM] Mts Aurexk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:06PM] Mts Aurexk used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:11PM] Mts Aurexk used command ::afk# | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:11PM] Mts Aurexk used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:25PM] Mts Aurexk used command ::yell gz on rank | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:28PM] Mts Aurexk used command ::veidar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:28PM] Mts Aurexk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:31PM] Mts Aurexk used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:33PM] Mts Aurexk used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:58PM] Mts Aurexk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:11AM] Mts Aurexk used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:12AM] Mts Aurexk used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Mts Aurexk used command ::veiger | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Mts Aurexk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Mts Aurexk used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Mts Aurexk used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:40AM] Mts Aurexk used command ::yellowenvents | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:40AM] Mts Aurexk used command ::yellowevents | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:41AM] Mts Aurexk used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:42AM] Mts Aurexk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:44AM] Mts Aurexk used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Mts Aurexk used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Mts Aurexk used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Mts Aurexk used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Mts Aurexk used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:53AM] Mts Aurexk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:54AM] Mts Aurexk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:08PM] Mts Aurexk used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 12:09PM] Mts Aurexk used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 12:13PM] Mts Aurexk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Mts Aurexk used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Mts Aurexk used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Mts Aurexk used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Mts Aurexk used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 12:18PM] Mts Aurexk used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:20PM] Mts Aurexk used command ::yell is post broken or what i cant use it | Player rights = CLERIC_DONATOR	
[4/19/23 12:22PM] Mts Aurexk used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:43PM] Mts Aurexk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Mts Aurexk used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Mts Aurexk used command ::yell ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:58PM] Mts Aurexk used command ::rewardall | Player rights = CLERIC_DONATOR	
[4/19/23 12:58PM] Mts Aurexk used command ::reward all | Player rights = CLERIC_DONATOR	
[4/19/23 12:58PM] Mts Aurexk used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 12:58PM] Mts Aurexk used command ::rewardall | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Mts Aurexk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Mts Aurexk used command ::yell veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Mts Aurexk used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Mts Aurexk used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:19PM] Mts Aurexk used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:22PM] Mts Aurexk used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:34PM] Mts Aurexk used command ::wzone | Player rights = CLERIC_DONATOR	
[4/19/23 01:34PM] Mts Aurexk used command ::yellowzone | Player rights = CLERIC_DONATOR	
[4/19/23 01:39PM] Mts Aurexk used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 01:43PM] Mts Aurexk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:47PM] Mts Aurexk used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:59PM] Mts Aurexk used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:59PM] Mts Aurexk used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:05PM] Mts Aurexk used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:08PM] Mts Aurexk used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:13PM] Mts Aurexk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:15PM] Mts Aurexk used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 02:25PM] Mts Aurexk used command ::yell 2 more vots | Player rights = CLERIC_DONATOR	
[4/19/23 02:29PM] Mts Aurexk used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 02:33PM] Mts Aurexk used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:34PM] Mts Aurexk used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:35PM] Mts Aurexk used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:42PM] Mts Aurexk used command ::noble | Player rights = CLERIC_DONATOR	
[4/19/23 02:42PM] Mts Aurexk used command ::yellowevent | Player rights = CLERIC_DONATOR	
[4/19/23 02:43PM] Mts Aurexk used command ::veiger | Player rights = CLERIC_DONATOR	
[4/19/23 02:44PM] Mts Aurexk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:12PM] Mts Aurexk used command ::veidan | Player rights = CLERIC_DONATOR	
[4/19/23 03:12PM] Mts Aurexk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:15PM] Mts Aurexk used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 03:16PM] Mts Aurexk used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 03:17PM] Mts Aurexk used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 11:18AM] Mts Aurexk used command ::veidar | Player rights = CLERIC_DONATOR	
[4/20/23 11:18AM] Mts Aurexk used command ::veidar | Player rights = CLERIC_DONATOR	
[4/20/23 11:18AM] Mts Aurexk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:21AM] Mts Aurexk used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Mts Aurexk used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:18PM] Mts Aurexk used command ::yel veigar about to spwa, | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Mts Aurexk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Mts Aurexk used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Mts Aurexk used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:23PM] Mts Aurexk used command ::poss | Player rights = CLERIC_DONATOR	
[4/20/23 01:23PM] Mts Aurexk used command ::pos | Player rights = CLERIC_DONATOR	
