[4/21/23 08:29AM] Crityourclit used command ::bank | Player rights = PLAYER	
[4/21/23 08:29AM] Crityourclit used command ::bank | Player rights = PLAYER	
[4/21/23 08:29AM] Crityourclit used command ::bank | Player rights = PLAYER	
[4/21/23 08:33AM] Crityourclit used command ::veigar | Player rights = PLAYER	
[4/21/23 08:34AM] Crityourclit used command ::ninetails | Player rights = PLAYER	
[4/21/23 08:34AM] Crityourclit used command ::veigar | Player rights = PLAYER	
[4/21/23 08:34AM] Crityourclit used command ::ninetails | Player rights = PLAYER	
[4/21/23 08:35AM] Crityourclit used command ::meruem | Player rights = PLAYER	
[4/21/23 08:36AM] Crityourclit used command ::home | Player rights = PLAYER	
[4/21/23 08:37AM] Crityourclit used command ::pos | Player rights = PLAYER	
[4/21/23 08:37AM] Crityourclit used command ::zones | Player rights = PLAYER	
[4/21/23 08:42AM] Crityourclit used command ::starter | Player rights = PLAYER	
[4/21/23 08:46AM] Crityourclit used command ::perks | Player rights = PLAYER	
[4/21/23 08:48AM] Crityourclit used command ::refer merks | Player rights = PLAYER	
[4/21/23 08:48AM] Crityourclit used command ::refer | Player rights = PLAYER	
[4/21/23 08:49AM] Crityourclit used command ::home | Player rights = PLAYER	
[4/21/23 08:49AM] Crityourclit used command ::bank | Player rights = PLAYER	
[4/21/23 08:52AM] Crityourclit used command ::starter | Player rights = PLAYER	
[4/21/23 08:53AM] Crityourclit used command ::guides | Player rights = PLAYER	
[4/21/23 08:57AM] Crityourclit used command ::home | Player rights = PLAYER	
[4/21/23 09:01AM] Crityourclit used command ::zones | Player rights = PLAYER	
[4/21/23 09:01AM] Crityourclit used command ::zones | Player rights = PLAYER	
[4/21/23 09:01AM] Crityourclit used command ::starter | Player rights = PLAYER	
[4/21/23 09:07AM] Crityourclit used command ::home | Player rights = PLAYER	
[4/21/23 09:12AM] Crityourclit used command ::home | Player rights = PLAYER	
[4/21/23 09:12AM] Crityourclit used command ::vote | Player rights = PLAYER	
[4/21/23 09:14AM] Crityourclit used command ::claimvote | Player rights = PLAYER	
[4/21/23 09:14AM] Crityourclit used command ::claimvote | Player rights = PLAYER	
[4/21/23 09:16AM] Crityourclit used command ::pos | Player rights = PLAYER	
[4/21/23 09:19AM] Crityourclit used command ::home | Player rights = PLAYER	
[4/21/23 09:19AM] Crityourclit used command ::home | Player rights = PLAYER	
[4/21/23 09:25AM] Crityourclit used command ::home | Player rights = PLAYER	
[4/21/23 09:32AM] Crityourclit used command ::veigar | Player rights = PLAYER	
[4/21/23 09:34AM] Crityourclit used command ::home | Player rights = PLAYER	
[4/21/23 09:39AM] Crityourclit used command ::zones | Player rights = PLAYER	
[4/21/23 09:41AM] Crityourclit used command ::auth  | Player rights = PLAYER	
[4/21/23 09:41AM] Crityourclit used command ::zones | Player rights = PLAYER	
[4/21/23 09:46AM] Crityourclit used command ::pos | Player rights = PLAYER	
[4/21/23 09:50AM] Crityourclit used command ::home | Player rights = PLAYER	
[4/21/23 10:01AM] Crityourclit used command ::pos | Player rights = PLAYER	
[4/21/23 10:02AM] Crityourclit used command ::veigar | Player rights = PLAYER	
[4/21/23 10:04AM] Crityourclit used command ::home | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::auth  | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::auth  | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::zones | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::zones | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::zones | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::home | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::pos | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::upgrade | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::upgrade | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::upgrade | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::teleport | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::upgrade | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::teleport | Player rights = PLAYER	
[4/21/23 10:11AM] Crityourclit used command ::teleport | Player rights = PLAYER	
