[4/17/23 04:01AM] Kinda Savage used command ::vote | Player rights = PLAYER	
[4/17/23 04:02AM] Kinda Savage used command ::claimvotes | Player rights = PLAYER	
[4/17/23 04:03AM] Kinda Savage used command ::claimvotes | Player rights = PLAYER	
[4/17/23 04:03AM] Kinda Savage used command ::claimvote | Player rights = PLAYER	
[4/17/23 04:03AM] Kinda Savage used command ::claimvote | Player rights = PLAYER	
[4/17/23 04:03AM] Kinda Savage used command ::claimvote | Player rights = PLAYER	
[4/17/23 04:04AM] Kinda Savage used command ::claimvotes | Player rights = PLAYER	
[4/17/23 04:04AM] Kinda Savage used command ::reward 1 | Player rights = PLAYER	
[4/17/23 04:05AM] Kinda Savage used command ::rewards 1 all | Player rights = PLAYER	
[4/17/23 04:06AM] Kinda Savage used command ::collection | Player rights = PLAYER	
[4/17/23 04:09AM] Kinda Savage used command ::ref fpk merk | Player rights = PLAYER	
[4/17/23 04:10AM] Kinda Savage used command ::veigar | Player rights = PLAYER	
[4/17/23 04:11AM] Kinda Savage used command ::home | Player rights = PLAYER	
[4/17/23 04:11AM] Kinda Savage used command ::bank | Player rights = PLAYER	
[4/17/23 04:31AM] Kinda Savage used command ::zones | Player rights = PLAYER	
[4/17/23 04:31AM] Kinda Savage used command ::train | Player rights = PLAYER	
[4/17/23 04:33AM] Kinda Savage used command ::train | Player rights = PLAYER	
[4/17/23 04:39AM] Kinda Savage used command ::veigar | Player rights = PLAYER	
[4/17/23 04:40AM] Kinda Savage used command ::ninetails | Player rights = PLAYER	
[4/17/23 04:42AM] Kinda Savage used command ::train | Player rights = PLAYER	
[4/17/23 04:43AM] Kinda Savage used command ::wiki | Player rights = PLAYER	
[4/17/23 04:54AM] Kinda Savage used command ::totem | Player rights = PLAYER	
[4/17/23 04:54AM] Kinda Savage used command ::train | Player rights = PLAYER	
[4/17/23 05:06AM] Kinda Savage used command ::home | Player rights = PLAYER	
[4/17/23 05:07AM] Kinda Savage used command ::train | Player rights = PLAYER	
[4/17/23 05:09AM] Kinda Savage used command ::veigar | Player rights = PLAYER	
[4/17/23 05:11AM] Kinda Savage used command ::train | Player rights = PLAYER	
[4/17/23 06:18AM] Kinda Savage used command ::train | Player rights = PLAYER	
[4/17/23 06:20AM] Kinda Savage used command ::totem | Player rights = PLAYER	
[4/17/23 06:21AM] Kinda Savage used command ::train | Player rights = PLAYER	
[4/17/23 06:24AM] Kinda Savage used command ::train | Player rights = PLAYER	
[4/17/23 06:29AM] Kinda Savage used command ::veigar | Player rights = PLAYER	
[4/17/23 06:34AM] Kinda Savage used command ::home | Player rights = PLAYER	
[4/17/23 06:39AM] Kinda Savage used command ::veigar | Player rights = PLAYER	
[4/17/23 06:41AM] Kinda Savage used command ::ninetails | Player rights = PLAYER	
[4/17/23 06:42AM] Kinda Savage used command ::golden | Player rights = PLAYER	
[4/17/23 06:47AM] Kinda Savage used command ::collection | Player rights = PLAYER	
[4/17/23 06:50AM] Kinda Savage used command ::collection | Player rights = PLAYER	
[4/17/23 07:00AM] Kinda Savage used command ::collection | Player rights = PLAYER	
[4/17/23 07:01AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:07AM] Kinda Savage used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:09AM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:25AM] Kinda Savage used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:39AM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:40AM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:41AM] Kinda Savage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:31AM] Kinda Savage used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:34AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:36AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:38AM] Kinda Savage used command ::veiger | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:38AM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:42AM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:44AM] Kinda Savage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:45AM] Kinda Savage used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:45AM] Kinda Savage used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:47AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:48AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:49AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:52AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:55AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:57AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:58AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:01AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:01AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:09AM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:47PM] Kinda Savage used command ::alter | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:47PM] Kinda Savage used command ::prayer | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:47PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:02PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:03PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:28PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:29PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:49PM] Kinda Savage used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:51PM] Kinda Savage used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:08AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:11AM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:12AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:15AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:15AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:18AM] Kinda Savage used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:19AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:21AM] Kinda Savage used command :::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:21AM] Kinda Savage used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:23AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:24AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:26AM] Kinda Savage used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:29AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:29AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:33AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:34AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:37AM] Kinda Savage used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:38AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:39AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:39AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41AM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:42AM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:43AM] Kinda Savage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:45AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:47AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:47AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:52AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:54AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:56AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:57AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:58AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:59AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:00AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:01AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:03AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:03AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:07AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:08AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:10AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:11AM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:39AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:41AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:41AM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42AM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42AM] Kinda Savage used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:43AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:45AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:47AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:49AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:51AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:09AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:10AM] Kinda Savage used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:28PM] Kinda Savage used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:28PM] Kinda Savage used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:29PM] Kinda Savage used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:39PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:41PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:41PM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:42PM] Kinda Savage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:44PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:45PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:54PM] Kinda Savage used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:57PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:00PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:03PM] Kinda Savage used command ::dropsoff | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:04PM] Kinda Savage used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:04PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:06PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:09PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:11PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:11PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:16PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:18PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:20PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:23PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:24PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:26PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:28PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:29PM] Kinda Savage used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:31PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:33PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:36PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Kinda Savage used command ::golden | Player rights = GRACEFUL_DONATOR	
