[4/15/23 05:02AM] Melti used command ::train | Player rights = PLAYER	
[4/15/23 09:03AM] Melti used command ::Ref | Player rights = PLAYER	
[4/15/23 09:03AM] Melti used command ::ref | Player rights = PLAYER	
[4/15/23 09:03AM] Melti used command ::totem | Player rights = PLAYER	
[4/15/23 09:04AM] Melti used command ::train | Player rights = PLAYER	
[4/15/23 09:04AM] Melti used command ::ref | Player rights = PLAYER	
[4/15/23 09:04AM] Melti used command ::ref | Player rights = PLAYER	
[4/15/23 09:06AM] Melti used command ::progression | Player rights = PLAYER	
[4/15/23 09:06AM] Melti used command ::bp | Player rights = PLAYER	
[4/15/23 09:06AM] Melti used command ::ref | Player rights = PLAYER	
[4/15/23 09:12AM] Melti used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:13AM] Melti used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:15AM] Melti used command ::Train | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:16AM] Melti used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:16AM] Melti used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:16AM] Melti used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:17AM] Melti used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:18AM] Melti used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:18AM] Melti used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:53PM] Melti used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:59PM] Melti used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:59PM] Melti used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:01PM] Melti used command ::Train | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:17PM] Melti used command ::walkchaos | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:22PM] Melti used command ::Train | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:26PM] Melti used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:28PM] Melti used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:29PM] Melti used command ::dmg | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:29PM] Melti used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:29PM] Melti used command ::Train | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:35PM] Melti used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:36PM] Melti used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:36PM] Melti used command ::achievement | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:37PM] Melti used command ::achievement | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:44PM] Melti used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:24PM] Melti used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:27PM] Melti used command ::collection | Player rights = GRACEFUL_DONATOR	
