[4/18/23 07:01AM] Munk used command :::afk | Player rights = PLAYER	
[4/18/23 07:01AM] Munk used command ::afk | Player rights = PLAYER	
[4/18/23 07:02AM] Munk used command ::shops | Player rights = PLAYER	
[4/18/23 07:04AM] Munk used command ::Afk | Player rights = PLAYER	
[4/18/23 08:48AM] Munk used command ::Afk | Player rights = PLAYER	
[4/19/23 07:07AM] Munk used command ::Afk | Player rights = PLAYER	
[4/19/23 07:56AM] Munk used command ::afk | Player rights = PLAYER	
[4/19/23 08:53AM] Munk used command ::Afk | Player rights = PLAYER	
[4/19/23 09:02AM] Munk used command ::afk | Player rights = PLAYER	
[4/19/23 09:19AM] Munk used command ::afk | Player rights = PLAYER	
[4/19/23 12:40PM] Munk used command ::afk | Player rights = PLAYER	
[4/20/23 07:00AM] Munk used command ::Afk | Player rights = PLAYER	
[4/22/23 03:25AM] Munk used command ::Afk | Player rights = PLAYER	
[4/22/23 03:56AM] Munk used command ::vote | Player rights = PLAYER	
[4/22/23 09:47PM] Munk used command ::afk | Player rights = PLAYER	
[4/22/23 11:35PM] Munk used command ::afk | Player rights = PLAYER	
[4/23/23 12:47AM] Munk used command ::afk | Player rights = PLAYER	
[4/23/23 02:57AM] Munk used command ::afk | Player rights = PLAYER	
