[4/20/23 08:24PM] Ascaris Fe used command ::veigar | Player rights = PLAYER	
[4/20/23 08:25PM] Ascaris Fe used command ::golden | Player rights = PLAYER	
[4/20/23 08:25PM] Ascaris Fe used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:34PM] Ascaris Fe used command ::veigar | Player rights = PLAYER	
[4/20/23 08:35PM] Ascaris Fe used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:36PM] Ascaris Fe used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:37PM] Ascaris Fe used command ::meruem | Player rights = PLAYER	
[4/20/23 08:38PM] Ascaris Fe used command ::golden | Player rights = PLAYER	
[4/20/23 08:44PM] Ascaris Fe used command ::golden | Player rights = PLAYER	
[4/20/23 09:03PM] Ascaris Fe used command ::veigar | Player rights = PLAYER	
[4/20/23 09:32PM] Ascaris Fe used command ::veigar | Player rights = PLAYER	
[4/20/23 09:45PM] Ascaris Fe used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:33PM] Ascaris Fe used command ::veigar | Player rights = PLAYER	
[4/20/23 10:34PM] Ascaris Fe used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:36PM] Ascaris Fe used command ::meruem | Player rights = PLAYER	
