[4/15/23 11:24AM] Bookie used command ::vote | Player rights = PLAYER	
[4/15/23 11:26AM] Bookie used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 11:28AM] Bookie used command ::veigar | Player rights = PLAYER	
[4/15/23 11:29AM] Bookie used command ::nincetails | Player rights = PLAYER	
[4/15/23 11:29AM] Bookie used command ::ninetails | Player rights = PLAYER	
[4/15/23 11:30AM] Bookie used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:51AM] Bookie used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:51AM] Bookie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:58AM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:14PM] Bookie used command ::skilling | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:28PM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:29PM] Bookie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:30PM] Bookie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:30PM] Bookie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:31PM] Bookie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:31PM] Bookie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:54AM] Bookie used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:55AM] Bookie used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:55AM] Bookie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:57AM] Bookie used command ::yell buy wep 30k 1b | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:58AM] Bookie used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:58AM] Bookie used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:02AM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:09AM] Bookie used command ::discord | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:32AM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:35AM] Bookie used command ::nincetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:35AM] Bookie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:11AM] Bookie used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:13AM] Bookie used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:14AM] Bookie used command ::yell sell 3 votes | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:15AM] Bookie used command ::Yell sell 3 votes | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:17AM] Bookie used command ::yell sell 3 votes !!! | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:20AM] Bookie used command ::Yell 3 votes 38k ea my pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:23AM] Bookie used command ::yell 3 votes my pos! | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:27AM] Bookie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:28AM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:30AM] Bookie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:31AM] Bookie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Bookie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:33AM] Bookie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34AM] Bookie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35AM] Bookie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:36AM] Bookie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:36AM] Bookie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:38AM] Bookie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:39AM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:39AM] Bookie used command ::yell votes/1$ scrolls my pos !!  | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:40AM] Bookie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:40AM] Bookie used command ::yell marksman prayer any good ? | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:43AM] Bookie used command ::yell pc marksman prayer? | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:43AM] Bookie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:44AM] Bookie used command ::yell sell marksman prayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:45AM] Bookie used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:48AM] Bookie used command ::yell trading marksman pray for weapon/armor | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:55AM] Bookie used command ::yell sell marksman prayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:56AM] Bookie used command ::yell selling marksman prayer, or trading for a decent aoewep | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:57AM] Bookie used command ::yell selling or trading marksman prayer for a decent aoe wep | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:01AM] Bookie used command ::yell sell marksman prayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:02AM] Bookie used command ::yell sell marksman prayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:02AM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:04AM] Bookie used command ::gamble | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:04AM] Bookie used command ::yell any1 wanna gamble 19m? | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:07AM] Bookie used command ::gamble | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:13AM] Bookie used command ::yell sell marksman pray scroll | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:17AM] Bookie used command ::yell trading marksman pray scroll for some wep/armour | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:18AM] Bookie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:18AM] Bookie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:21AM] Bookie used command ::yell trading marksman scroll for aoe wep | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:24AM] Bookie used command ::yell marksman pray scroll my pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:26AM] Bookie used command ::yell sell marksman pray/ pm offers | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:29AM] Bookie used command ::yell sell marksman scroll pm offers | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:32AM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:34AM] Bookie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:54AM] Bookie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:56AM] Bookie used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:02AM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:18AM] Bookie used command ::yell 5$ my pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:29AM] Bookie used command ::yell $1 scrolls my pos !! | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:32AM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:33AM] Bookie used command ::yell trade 5$for groudon item | Player rights = GRACEFUL_DONATOR	
