[4/15/23 06:10AM] Englishboss used command ::train | Player rights = PLAYER	
[4/15/23 06:12AM] Englishboss used command ::totem | Player rights = PLAYER	
[4/15/23 06:12AM] Englishboss used command ::train | Player rights = PLAYER	
[4/15/23 06:15AM] Englishboss used command ::shops | Player rights = PLAYER	
[4/15/23 06:15AM] Englishboss used command ::train | Player rights = PLAYER	
[4/15/23 06:23AM] Englishboss used command ::totem | Player rights = PLAYER	
[4/15/23 06:23AM] Englishboss used command ::Train | Player rights = PLAYER	
[4/15/23 06:25AM] Englishboss used command ::train | Player rights = PLAYER	
[4/15/23 06:29AM] Englishboss used command ::veigar | Player rights = PLAYER	
[4/15/23 06:29AM] Englishboss used command ::train | Player rights = PLAYER	
[4/15/23 06:30AM] Englishboss used command ::upgrade | Player rights = PLAYER	
[4/15/23 06:32AM] Englishboss used command ::vote | Player rights = PLAYER	
[4/15/23 06:33AM] Englishboss used command ::Train | Player rights = PLAYER	
[4/15/23 06:33AM] Englishboss used command ::claimvotes | Player rights = PLAYER	
[4/15/23 06:34AM] Englishboss used command ::claimvote | Player rights = PLAYER	
[4/15/23 06:34AM] Englishboss used command ::reward 1 | Player rights = PLAYER	
[4/15/23 06:46AM] Englishboss used command ::collectors | Player rights = PLAYER	
[4/15/23 06:46AM] Englishboss used command ::ref | Player rights = PLAYER	
[4/15/23 06:49AM] Englishboss used command ::veigar | Player rights = PLAYER	
[4/15/23 06:51AM] Englishboss used command ::train | Player rights = PLAYER	
[4/15/23 06:56AM] Englishboss used command ::bosses | Player rights = PLAYER	
[4/15/23 07:21AM] Englishboss used command ::totem | Player rights = PLAYER	
[4/15/23 07:27AM] Englishboss used command ::totem | Player rights = PLAYER	
[4/15/23 07:54AM] Englishboss used command ::donate | Player rights = PLAYER	
[4/15/23 08:20AM] Englishboss used command ::home | Player rights = PLAYER	
[4/15/23 08:29AM] Englishboss used command ::veigar | Player rights = PLAYER	
[4/15/23 08:29AM] Englishboss used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:33AM] Englishboss used command ::elo | Player rights = PLAYER	
[4/15/23 08:59AM] Englishboss used command ::veigar | Player rights = PLAYER	
[4/15/23 09:01AM] Englishboss used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:28AM] Englishboss used command ::weigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:29AM] Englishboss used command ::weigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:29AM] Englishboss used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:29AM] Englishboss used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:53PM] Englishboss used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:09AM] Englishboss used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:19AM] Englishboss used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:20AM] Englishboss used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:23AM] Englishboss used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:53AM] Englishboss used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:03AM] Englishboss used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:23AM] Englishboss used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:46AM] Englishboss used command ::mbox | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:46AM] Englishboss used command ::freembox | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:46AM] Englishboss used command ::ownercape | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:46AM] Englishboss used command ::freecape | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:46AM] Englishboss used command ::ownercape1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:53AM] Englishboss used command ::VEIGAR | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:22AM] Englishboss used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:25AM] Englishboss used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:26AM] Englishboss used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:53AM] Englishboss used command ::veigar | Player rights = GRACEFUL_DONATOR	
