[4/21/23 07:27PM] Exi used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/21/23 07:32PM] Exi used command ::veigar | Player rights = PLAYER	
[4/21/23 07:33PM] Exi used command ::veigar | Player rights = PLAYER	
[4/21/23 07:56PM] Exi used command ::pos | Player rights = PLAYER	
[4/21/23 07:56PM] Exi used command ::pos | Player rights = PLAYER	
[4/21/23 07:56PM] Exi used command ::pos | Player rights = PLAYER	
[4/21/23 07:56PM] Exi used command ::home | Player rights = PLAYER	
[4/21/23 07:56PM] Exi used command ::pos | Player rights = PLAYER	
[4/21/23 07:56PM] Exi used command ::Shops | Player rights = PLAYER	
[4/21/23 08:02PM] Exi used command ::vote | Player rights = PLAYER	
[4/21/23 08:02PM] Exi used command ::veigar | Player rights = PLAYER	
[4/21/23 08:18PM] Exi used command ::Reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:28PM] Exi used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32PM] Exi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:33PM] Exi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34PM] Exi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34PM] Exi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35PM] Exi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:02PM] Exi used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:03PM] Exi used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:32PM] Exi used command ::veigare | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:32PM] Exi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:34PM] Exi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:57PM] Exi used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:02PM] Exi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:18PM] Exi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:33PM] Exi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:02PM] Exi used command ::veigar | Player rights = GRACEFUL_DONATOR	
