[4/19/23 12:13PM] Bokzty used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Bokzty used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:15PM] Bokzty used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Bokzty used command ::vboss | Player rights = PLAYER	
[4/19/23 12:16PM] Bokzty used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Bokzty used command ::meruem | Player rights = PLAYER	
[4/19/23 12:18PM] Bokzty used command ::golden | Player rights = PLAYER	
[4/19/23 12:19PM] Bokzty used command ::wr3cked | Player rights = PLAYER	
[4/19/23 12:19PM] Bokzty used command ::home | Player rights = PLAYER	
[4/19/23 12:21PM] Bokzty used command ::refer | Player rights = PLAYER	
[4/19/23 12:21PM] Bokzty used command ::refer | Player rights = PLAYER	
[4/19/23 12:24PM] Bokzty used command ::bank | Player rights = PLAYER	
[4/19/23 12:43PM] Bokzty used command ::home | Player rights = PLAYER	
[4/19/23 12:44PM] Bokzty used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Bokzty used command ::vboss | Player rights = PLAYER	
[4/19/23 12:46PM] Bokzty used command ::bank | Player rights = PLAYER	
[4/19/23 12:46PM] Bokzty used command ::home | Player rights = PLAYER	
[4/19/23 12:54PM] Bokzty used command ::home | Player rights = PLAYER	
[4/19/23 12:57PM] Bokzty used command ::wr3cked | Player rights = PLAYER	
[4/19/23 01:00PM] Bokzty used command ::donate | Player rights = PLAYER	
[4/19/23 01:13PM] Bokzty used command ::veigar | Player rights = PLAYER	
[4/19/23 01:15PM] Bokzty used command ::ninetails | Player rights = PLAYER	
[4/19/23 01:16PM] Bokzty used command ::ninetails | Player rights = PLAYER	
[4/19/23 01:16PM] Bokzty used command ::meruem | Player rights = PLAYER	
[4/19/23 01:17PM] Bokzty used command ::vote | Player rights = PLAYER	
[4/19/23 01:18PM] Bokzty used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 01:18PM] Bokzty used command ::vboss | Player rights = PLAYER	
[4/19/23 01:36PM] Bokzty used command ::claim | Player rights = PLAYER	
[4/19/23 01:38PM] Bokzty used command ::home | Player rights = PLAYER	
[4/19/23 01:43PM] Bokzty used command ::veigar | Player rights = PLAYER	
[4/19/23 01:45PM] Bokzty used command ::bank | Player rights = PLAYER	
[4/20/23 05:41AM] Bokzty used command ::wr3cked  | Player rights = PLAYER	
[4/20/23 05:42AM] Bokzty used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:42AM] Bokzty used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:43AM] Bokzty used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:44AM] Bokzty used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:44AM] Bokzty used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:49AM] Bokzty used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:52AM] Bokzty used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:58AM] Bokzty used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:05AM] Bokzty used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:19AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:20AM] Bokzty used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Bokzty used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Bokzty used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Bokzty used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Bokzty used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:27AM] Bokzty used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:33AM] Bokzty used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:37AM] Bokzty used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:53AM] Bokzty used command ::yellowboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:53AM] Bokzty used command ::wboss | Player rights = CLERIC_DONATOR	
[4/20/23 07:12AM] Bokzty used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 07:18AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Bokzty used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:24AM] Bokzty used command ::vboss | Player rights = CLERIC_DONATOR	
