[4/21/23 11:23AM] Jix used command ::refer | Player rights = PLAYER	
[4/21/23 11:28AM] Jix used command ::train | Player rights = PLAYER	
[4/21/23 11:31AM] Jix used command ::reward 1 | Player rights = PLAYER	
[4/21/23 11:32AM] Jix used command ::train | Player rights = PLAYER	
[4/21/23 11:32AM] Jix used command ::veigar | Player rights = PLAYER	
[4/21/23 11:34AM] Jix used command ::ninetails | Player rights = PLAYER	
[4/21/23 11:35AM] Jix used command ::golden | Player rights = PLAYER	
[4/21/23 11:35AM] Jix used command ::golden | Player rights = PLAYER	
[4/21/23 11:36AM] Jix used command ::golden | Player rights = PLAYER	
[4/21/23 11:36AM] Jix used command ::train | Player rights = PLAYER	
[4/21/23 11:39AM] Jix used command ::prayer | Player rights = PLAYER	
[4/21/23 12:02PM] Jix used command ::veigar | Player rights = PLAYER	
[4/21/23 12:05PM] Jix used command ::voteboss | Player rights = PLAYER	
[4/21/23 12:08PM] Jix used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:10PM] Jix used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:10PM] Jix used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:13PM] Jix used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:23PM] Jix used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:23PM] Jix used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:32PM] Jix used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:34PM] Jix used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:35PM] Jix used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:39PM] Jix used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:39PM] Jix used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:45PM] Jix used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:47PM] Jix used command ::npckills | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:48PM] Jix used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:02PM] Jix used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:07PM] Jix used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:34PM] Jix used command ::Shops | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:34PM] Jix used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:34PM] Jix used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:44PM] Jix used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:48PM] Jix used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:50PM] Jix used command :::c | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:50PM] Jix used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:40AM] Jix used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:57AM] Jix used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:02AM] Jix used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:02AM] Jix used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:17AM] Jix used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:20AM] Jix used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:20AM] Jix used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:20AM] Jix used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:20AM] Jix used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:32AM] Jix used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:34AM] Jix used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:40AM] Jix used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:02AM] Jix used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:05AM] Jix used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:31PM] Jix used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:32PM] Jix used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:33PM] Jix used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:32PM] Jix used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:33PM] Jix used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:35PM] Jix used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:37PM] Jix used command ::claimvote 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:37PM] Jix used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:37PM] Jix used command ::Claimvote 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:37PM] Jix used command ::train | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:46AM] Jix used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:31PM] Jix used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:32PM] Jix used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:34PM] Jix used command ::golden | Player rights = GRACEFUL_DONATOR	
