[4/18/23 08:38AM] Shwifty used command ::train | Player rights = PLAYER	
[4/18/23 08:41AM] Shwifty used command ::veigar | Player rights = PLAYER	
[4/18/23 08:42AM] Shwifty used command ::nintails | Player rights = PLAYER	
[4/18/23 08:42AM] Shwifty used command ::nine | Player rights = PLAYER	
[4/18/23 08:42AM] Shwifty used command ::ninetails | Player rights = PLAYER	
[4/18/23 08:42AM] Shwifty used command ::meruem | Player rights = PLAYER	
[4/18/23 08:43AM] Shwifty used command ::train | Player rights = PLAYER	
[4/18/23 08:44AM] Shwifty used command ::trian] | Player rights = PLAYER	
[4/18/23 08:44AM] Shwifty used command ::train | Player rights = PLAYER	
[4/18/23 08:48AM] Shwifty used command ::train | Player rights = PLAYER	
[4/18/23 08:49AM] Shwifty used command ::train | Player rights = PLAYER	
[4/18/23 08:51AM] Shwifty used command ::collection | Player rights = PLAYER	
[4/18/23 08:55AM] Shwifty used command ::inferno | Player rights = PLAYER	
[4/18/23 08:56AM] Shwifty used command ::train | Player rights = PLAYER	
[4/18/23 08:58AM] Shwifty used command ::ref fpk merk | Player rights = PLAYER	
[4/18/23 09:09AM] Shwifty used command ::train | Player rights = PLAYER	
[4/18/23 09:11AM] Shwifty used command ::vote | Player rights = PLAYER	
[4/18/23 09:11AM] Shwifty used command ::veigar | Player rights = PLAYER	
[4/18/23 09:12AM] Shwifty used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 09:12AM] Shwifty used command ::altars | Player rights = PLAYER	
[4/18/23 09:12AM] Shwifty used command ::altar | Player rights = PLAYER	
[4/18/23 09:12AM] Shwifty used command ::altars | Player rights = PLAYER	
[4/18/23 09:14AM] Shwifty used command ::voteboss | Player rights = PLAYER	
[4/18/23 09:15AM] Shwifty used command ::collection | Player rights = PLAYER	
[4/18/23 09:24AM] Shwifty used command ::train | Player rights = PLAYER	
[4/18/23 09:36AM] Shwifty used command ::totem | Player rights = PLAYER	
[4/18/23 09:41AM] Shwifty used command ::veigar | Player rights = PLAYER	
[4/18/23 10:03AM] Shwifty used command ::kc imperial paladin | Player rights = PLAYER	
[4/18/23 10:07AM] Shwifty used command ::collection | Player rights = PLAYER	
[4/18/23 10:09AM] Shwifty used command ::collection | Player rights = PLAYER	
[4/18/23 10:11AM] Shwifty used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:19AM] Shwifty used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:31AM] Shwifty used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:31AM] Shwifty used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:41AM] Shwifty used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:41AM] Shwifty used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:42AM] Shwifty used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:42AM] Shwifty used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:31PM] Shwifty used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:34PM] Shwifty used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Shwifty used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Shwifty used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Shwifty used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Shwifty used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:46PM] Shwifty used command ::empty | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:41PM] Shwifty used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:52PM] Shwifty used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:53PM] Shwifty used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:55PM] Shwifty used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:55PM] Shwifty used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:55PM] Shwifty used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:56PM] Shwifty used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:58PM] Shwifty used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:13PM] Shwifty used command ::verigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:13PM] Shwifty used command ::verigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:13PM] Shwifty used command ::verigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:14PM] Shwifty used command ::verigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:14PM] Shwifty used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:15PM] Shwifty used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Shwifty used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:17PM] Shwifty used command ::golden | Player rights = GRACEFUL_DONATOR	
