[4/17/23 01:02AM] Redx12 used command ::vote | Player rights = PLAYER	
[4/17/23 01:03AM] Redx12 used command ::vboss | Player rights = PLAYER	
[4/17/23 01:04AM] Redx12 used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 01:09AM] Redx12 used command ::reward 1 | Player rights = PLAYER	
[4/17/23 01:09AM] Redx12 used command ::reward 1 | Player rights = PLAYER	
[4/17/23 01:10AM] Redx12 used command ::veigar | Player rights = PLAYER	
[4/17/23 01:11AM] Redx12 used command ::vboss | Player rights = PLAYER	
[4/17/23 01:11AM] Redx12 used command ::veigar | Player rights = PLAYER	
[4/17/23 01:13AM] Redx12 used command ::reward 1 | Player rights = PLAYER	
[4/17/23 01:17AM] Redx12 used command ::train | Player rights = PLAYER	
[4/17/23 01:18AM] Redx12 used command ::home | Player rights = PLAYER	
[4/17/23 01:22AM] Redx12 used command ::starter | Player rights = PLAYER	
[4/17/23 01:23AM] Redx12 used command ::home | Player rights = PLAYER	
[4/17/23 01:23AM] Redx12 used command ::train  | Player rights = PLAYER	
[4/17/23 01:26AM] Redx12 used command ::home | Player rights = PLAYER	
[4/17/23 01:28AM] Redx12 used command ::train | Player rights = PLAYER	
[4/17/23 01:37AM] Redx12 used command ::home | Player rights = PLAYER	
[4/17/23 01:39AM] Redx12 used command ::veigar | Player rights = PLAYER	
[4/17/23 01:40AM] Redx12 used command ::home | Player rights = PLAYER	
[4/17/23 01:43AM] Redx12 used command ::train | Player rights = PLAYER	
[4/17/23 01:46AM] Redx12 used command ::home | Player rights = PLAYER	
[4/17/23 01:47AM] Redx12 used command ::train | Player rights = PLAYER	
[4/17/23 01:52AM] Redx12 used command ::bank | Player rights = PLAYER	
[4/17/23 02:01AM] Redx12 used command ::refer | Player rights = PLAYER	
[4/17/23 02:03AM] Redx12 used command ::home | Player rights = PLAYER	
[4/17/23 02:09AM] Redx12 used command ::veigar | Player rights = PLAYER	
[4/17/23 02:11AM] Redx12 used command ::home | Player rights = PLAYER	
[4/17/23 02:13AM] Redx12 used command ::train | Player rights = PLAYER	
[4/17/23 02:23AM] Redx12 used command ::home | Player rights = PLAYER	
[4/17/23 02:23AM] Redx12 used command ::teleport | Player rights = PLAYER	
[4/17/23 02:23AM] Redx12 used command ::teleport | Player rights = PLAYER	
[4/17/23 02:26AM] Redx12 used command ::train | Player rights = PLAYER	
[4/17/23 02:31AM] Redx12 used command ::train | Player rights = PLAYER	
[4/17/23 02:31AM] Redx12 used command ::zone | Player rights = PLAYER	
[4/17/23 02:31AM] Redx12 used command ::zones | Player rights = PLAYER	
[4/17/23 02:31AM] Redx12 used command ::zones | Player rights = PLAYER	
[4/17/23 02:32AM] Redx12 used command ::zones | Player rights = PLAYER	
[4/17/23 02:32AM] Redx12 used command ::zone | Player rights = PLAYER	
[4/17/23 02:32AM] Redx12 used command ::starter | Player rights = PLAYER	
[4/17/23 02:32AM] Redx12 used command ::guides | Player rights = PLAYER	
[4/17/23 02:32AM] Redx12 used command ::tasks | Player rights = PLAYER	
[4/17/23 02:39AM] Redx12 used command ::veigar | Player rights = PLAYER	
[4/17/23 02:43AM] Redx12 used command ::home | Player rights = PLAYER	
[4/17/23 03:02AM] Redx12 used command ::home | Player rights = PLAYER	
[4/17/23 03:03AM] Redx12 used command ::teleport | Player rights = PLAYER	
[4/17/23 03:09AM] Redx12 used command ::auth ::veigar | Player rights = PLAYER	
[4/17/23 03:09AM] Redx12 used command ::veigar | Player rights = PLAYER	
[4/17/23 03:12AM] Redx12 used command ::home | Player rights = PLAYER	
[4/17/23 03:21AM] Redx12 used command ::home | Player rights = PLAYER	
[4/17/23 03:39AM] Redx12 used command ::veigar | Player rights = PLAYER	
[4/17/23 03:41AM] Redx12 used command ::ninetails | Player rights = PLAYER	
[4/17/23 03:42AM] Redx12 used command ::meruem | Player rights = PLAYER	
[4/17/23 03:43AM] Redx12 used command ::golden | Player rights = PLAYER	
[4/17/23 03:44AM] Redx12 used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:45AM] Redx12 used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:45AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:09AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:11AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:39AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:40AM] Redx12 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:42AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:09AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:11AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:17AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:39AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:40AM] Redx12 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:40AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:41AM] Redx12 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:42AM] Redx12 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:44AM] Redx12 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:47AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:09AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:11AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:18AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:28AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:36AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:39AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:41AM] Redx12 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:42AM] Redx12 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:52AM] Redx12 used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:58AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:01AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:09AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:10AM] Redx12 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:24AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:27AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:32AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:39AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:40AM] Redx12 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:41AM] Redx12 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:43AM] Redx12 used command ::golden::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:43AM] Redx12 used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:43AM] Redx12 used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:46AM] Redx12 used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:05AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:07AM] Redx12 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:10AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:11AM] Redx12 used command ::reward all | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:11AM] Redx12 used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:11AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:39AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:40AM] Redx12 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:42AM] Redx12 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:42AM] Redx12 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:03AM] Redx12 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:09AM] Redx12 used command ::veiar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:09AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:12AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:18AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:21AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:23AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:39AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:42AM] Redx12 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:44AM] Redx12 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:45AM] Redx12 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:48AM] Redx12 used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:55AM] Redx12 used command ::Log | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:55AM] Redx12 used command ::clog | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:08AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:09AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:33AM] Redx12 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:34AM] Redx12 used command ::meruen | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:34AM] Redx12 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:35AM] Redx12 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:35AM] Redx12 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:35AM] Redx12 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:35AM] Redx12 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:36AM] Redx12 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:45AM] Redx12 used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:52AM] Redx12 used command ::fpk | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:58AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:02AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:03AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:07AM] Redx12 used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:09AM] Redx12 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:09AM] Redx12 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:10AM] Redx12 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:11AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:17AM] Redx12 used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:27AM] Redx12 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:32AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Redx12 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Redx12 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Redx12 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:42AM] Redx12 used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:43AM] Redx12 used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:43AM] Redx12 used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Redx12 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Redx12 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:56AM] Redx12 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:00PM] Redx12 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:00PM] Redx12 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:00PM] Redx12 used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:00PM] Redx12 used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:01PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:07PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:08PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:09PM] Redx12 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:13PM] Redx12 used command ::golen | Player rights = CLERIC_DONATOR	
[4/17/23 12:13PM] Redx12 used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Redx12 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Redx12 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Redx12 used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Redx12 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:20PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:30PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:31PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Redx12 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Redx12 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:03PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:05PM] Redx12 used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 01:14PM] Redx12 used command ::totam | Player rights = CLERIC_DONATOR	
[4/17/23 01:14PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 01:28PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:31PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Redx12 used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 01:34PM] Redx12 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 01:37PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:49PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:55PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 02:01PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Redx12 used command ::mereum | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Redx12 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:34PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 02:42PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] Redx12 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 03:00PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:01PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:06PM] Redx12 used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 03:07PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:07PM] Redx12 used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 03:31PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:33PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:44PM] Redx12 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 03:44PM] Redx12 used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 03:50PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 03:50PM] Redx12 used command ::miscreation | Player rights = CLERIC_DONATOR	
[4/17/23 04:01PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:22PM] Redx12 used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 04:28PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 04:31PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
