[4/16/23 05:50PM] Coco used command ::ref fpk merk | Player rights = PLAYER	
[4/16/23 05:52PM] Coco used command ::totem | Player rights = PLAYER	
[4/16/23 05:53PM] Coco used command ::train | Player rights = PLAYER	
[4/16/23 05:53PM] Coco used command ::veiger | Player rights = PLAYER	
[4/16/23 05:54PM] Coco used command ::veigar | Player rights = PLAYER	
[4/16/23 05:54PM] Coco used command ::home | Player rights = PLAYER	
[4/16/23 05:57PM] Coco used command ::donate | Player rights = PLAYER	
[4/16/23 05:58PM] Coco used command ::train | Player rights = PLAYER	
[4/16/23 06:23PM] Coco used command ::veigar | Player rights = PLAYER	
[4/16/23 06:25PM] Coco used command ::ninetails | Player rights = PLAYER	
[4/16/23 06:32PM] Coco used command ::home | Player rights = PLAYER	
[4/16/23 06:54PM] Coco used command ::veigar | Player rights = PLAYER	
[4/16/23 06:56PM] Coco used command ::ninetails | Player rights = PLAYER	
[4/16/23 07:09PM] Coco used command ::npckills | Player rights = PLAYER	
[4/16/23 07:09PM] Coco used command ::kills | Player rights = PLAYER	
[4/16/23 07:21PM] Coco used command ::kills | Player rights = PLAYER	
[4/16/23 07:23PM] Coco used command ::veigar | Player rights = PLAYER	
[4/16/23 07:24PM] Coco used command ::ninetails | Player rights = PLAYER	
[4/16/23 07:34PM] Coco used command ::kils | Player rights = PLAYER	
[4/16/23 07:34PM] Coco used command ::kills | Player rights = PLAYER	
[4/16/23 07:39PM] Coco used command ::kills | Player rights = PLAYER	
[4/16/23 07:42PM] Coco used command ::kills | Player rights = PLAYER	
[4/16/23 07:44PM] Coco used command ::kills | Player rights = PLAYER	
[4/16/23 07:46PM] Coco used command ::kills | Player rights = PLAYER	
[4/16/23 07:54PM] Coco used command ::veigar | Player rights = PLAYER	
[4/17/23 04:02PM] Coco used command ::veigar | Player rights = PLAYER	
[4/17/23 04:03PM] Coco used command ::nitetails | Player rights = PLAYER	
[4/17/23 04:03PM] Coco used command ::ninetails | Player rights = PLAYER	
[4/19/23 01:21PM] Coco used command ::voteboss | Player rights = PLAYER	
[4/19/23 01:34PM] Coco used command ::home | Player rights = PLAYER	
[4/19/23 01:44PM] Coco used command ::veigar | Player rights = PLAYER	
[4/19/23 01:45PM] Coco used command ::ninetails | Player rights = PLAYER	
[4/19/23 01:46PM] Coco used command ::pos | Player rights = PLAYER	
[4/19/23 01:47PM] Coco used command ::pos | Player rights = PLAYER	
[4/19/23 02:00PM] Coco used command ::home | Player rights = PLAYER	
[4/22/23 05:32PM] Coco used command ::donate | Player rights = PLAYER	
[4/22/23 05:32PM] Coco used command ::veigar | Player rights = PLAYER	
[4/22/23 05:34PM] Coco used command ::donate | Player rights = PLAYER	
[4/22/23 06:02PM] Coco used command ::veigar | Player rights = PLAYER	
[4/22/23 08:00PM] Coco used command ::home | Player rights = PLAYER	
