[4/21/23 03:16PM] Grizzly used command ::home | Player rights = PLAYER	
[4/21/23 03:23PM] Grizzly used command ::train | Player rights = PLAYER	
[4/21/23 03:23PM] Grizzly used command ::home | Player rights = PLAYER	
[4/21/23 03:24PM] Grizzly used command ::home | Player rights = PLAYER	
[4/21/23 03:24PM] Grizzly used command ::train | Player rights = PLAYER	
[4/21/23 03:24PM] Grizzly used command ::train | Player rights = PLAYER	
[4/21/23 03:26PM] Grizzly used command ::train | Player rights = PLAYER	
[4/21/23 03:27PM] Grizzly used command ::train | Player rights = PLAYER	
[4/21/23 03:28PM] Grizzly used command ::train | Player rights = PLAYER	
[4/21/23 03:30PM] Grizzly used command ::home | Player rights = PLAYER	
[4/21/23 03:31PM] Grizzly used command ::home | Player rights = PLAYER	
[4/21/23 03:32PM] Grizzly used command ::Veigar | Player rights = PLAYER	
[4/21/23 03:34PM] Grizzly used command ::ninetails | Player rights = PLAYER	
[4/21/23 05:02PM] Grizzly used command ::noble | Player rights = PLAYER	
[4/21/23 05:03PM] Grizzly used command ::veigar | Player rights = PLAYER	
[4/21/23 05:04PM] Grizzly used command ::nodrop | Player rights = PLAYER	
[4/21/23 05:04PM] Grizzly used command ::dropoff | Player rights = PLAYER	
[4/21/23 05:04PM] Grizzly used command ::home | Player rights = PLAYER	
[4/21/23 05:10PM] Grizzly used command ::home | Player rights = PLAYER	
[4/21/23 05:20PM] Grizzly used command ::kc | Player rights = PLAYER	
[4/21/23 05:32PM] Grizzly used command ::totem | Player rights = PLAYER	
[4/21/23 05:32PM] Grizzly used command ::veigar | Player rights = PLAYER	
[4/21/23 05:33PM] Grizzly used command ::ninetails | Player rights = PLAYER	
[4/21/23 05:34PM] Grizzly used command ::meruem | Player rights = PLAYER	
[4/21/23 05:34PM] Grizzly used command ::golden | Player rights = PLAYER	
[4/21/23 05:34PM] Grizzly used command ::golden | Player rights = PLAYER	
[4/21/23 05:35PM] Grizzly used command ::home | Player rights = PLAYER	
[4/21/23 05:36PM] Grizzly used command ::instance | Player rights = PLAYER	
[4/21/23 05:37PM] Grizzly used command ::pos | Player rights = PLAYER	
[4/21/23 05:41PM] Grizzly used command ::collection | Player rights = PLAYER	
[4/21/23 05:43PM] Grizzly used command ::collection | Player rights = PLAYER	
[4/21/23 05:43PM] Grizzly used command ::pos | Player rights = PLAYER	
[4/21/23 05:44PM] Grizzly used command ::vote | Player rights = PLAYER	
[4/21/23 05:46PM] Grizzly used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 05:48PM] Grizzly used command ::home | Player rights = PLAYER	
[4/21/23 05:55PM] Grizzly used command ::home | Player rights = PLAYER	
[4/21/23 05:55PM] Grizzly used command ::coll | Player rights = PLAYER	
[4/21/23 05:55PM] Grizzly used command ::collection | Player rights = PLAYER	
[4/21/23 06:02PM] Grizzly used command ::collection | Player rights = PLAYER	
