[4/23/23 12:20PM] Azo used command ::train | Player rights = PLAYER	
[4/23/23 12:23PM] Azo used command ::re | Player rights = PLAYER	
[4/23/23 12:23PM] Azo used command ::ref | Player rights = PLAYER	
[4/23/23 12:35PM] Azo used command ::train | Player rights = PLAYER	
[4/24/23 07:49AM] Azo used command ::voteboss | Player rights = PLAYER	
[4/24/23 07:52AM] Azo used command ::pos | Player rights = PLAYER	
[4/24/23 12:01PM] Azo used command ::veigar | Player rights = PLAYER	
[4/24/23 07:08PM] Azo used command ::collection | Player rights = PLAYER	
[4/25/23 03:18AM] Azo used command ::vboss | Player rights = PLAYER	
[4/25/23 03:31AM] Azo used command ::pos | Player rights = PLAYER	
[4/25/23 03:31AM] Azo used command ::veigar | Player rights = PLAYER	
[4/25/23 03:39AM] Azo used command ::pos | Player rights = PLAYER	
[4/25/23 03:42AM] Azo used command ::ref noble | Player rights = PLAYER	
