[4/22/23 11:56AM] S1n1 used command ::reffer | Player rights = PLAYER	
[4/22/23 11:56AM] S1n1 used command ::ref | Player rights = PLAYER	
[4/22/23 11:58AM] S1n1 used command ::vote | Player rights = PLAYER	
[4/22/23 12:00PM] S1n1 used command ::reward 1 | Player rights = PLAYER	
[4/22/23 12:02PM] S1n1 used command ::veigar | Player rights = PLAYER	
[4/22/23 12:08PM] S1n1 used command ::veigar | Player rights = PLAYER	
[4/22/23 12:10PM] S1n1 used command ::ninetails | Player rights = PLAYER	
[4/22/23 12:11PM] S1n1 used command ::home | Player rights = PLAYER	
[4/22/23 12:11PM] S1n1 used command ::meruem | Player rights = PLAYER	
[4/22/23 12:13PM] S1n1 used command ::goledn | Player rights = PLAYER	
[4/22/23 12:13PM] S1n1 used command ::golden | Player rights = PLAYER	
[4/22/23 12:15PM] S1n1 used command ::home | Player rights = PLAYER	
[4/22/23 12:23PM] S1n1 used command ::item | Player rights = PLAYER	
[4/22/23 12:23PM] S1n1 used command ::commands | Player rights = PLAYER	
[4/22/23 12:23PM] S1n1 used command ::itemstats | Player rights = PLAYER	
[4/22/23 12:23PM] S1n1 used command ::itemstats | Player rights = PLAYER	
[4/22/23 12:23PM] S1n1 used command ::commands | Player rights = PLAYER	
[4/22/23 12:24PM] S1n1 used command ::forums | Player rights = PLAYER	
[4/22/23 12:25PM] S1n1 used command ::rewards | Player rights = PLAYER	
[4/22/23 12:25PM] S1n1 used command ::reward 2 | Player rights = PLAYER	
[4/22/23 12:32PM] S1n1 used command ::veigar | Player rights = PLAYER	
[4/22/23 12:33PM] S1n1 used command ::meruem | Player rights = PLAYER	
[4/22/23 12:34PM] S1n1 used command ::ninetails | Player rights = PLAYER	
[4/22/23 12:34PM] S1n1 used command ::meruuem | Player rights = PLAYER	
[4/22/23 12:34PM] S1n1 used command ::meruem | Player rights = PLAYER	
[4/22/23 12:55PM] S1n1 used command ::commands | Player rights = PLAYER	
[4/22/23 12:55PM] S1n1 used command ::kills | Player rights = PLAYER	
[4/22/23 12:55PM] S1n1 used command ::kills | Player rights = PLAYER	
[4/22/23 12:58PM] S1n1 used command ::kill | Player rights = PLAYER	
[4/22/23 12:58PM] S1n1 used command ::kills | Player rights = PLAYER	
[4/22/23 12:59PM] S1n1 used command ::kills | Player rights = PLAYER	
[4/22/23 01:02PM] S1n1 used command ::veigar | Player rights = PLAYER	
[4/22/23 01:30PM] S1n1 used command ::VOTEBOSS | Player rights = PLAYER	
[4/22/23 01:32PM] S1n1 used command ::voteboss | Player rights = PLAYER	
[4/22/23 01:32PM] S1n1 used command ::veigar | Player rights = PLAYER	
[4/22/23 01:33PM] S1n1 used command ::ninetails | Player rights = PLAYER	
[4/22/23 01:35PM] S1n1 used command ::home | Player rights = PLAYER	
[4/22/23 02:28PM] S1n1 used command ::red | Player rights = PLAYER	
[4/22/23 02:28PM] S1n1 used command ::reffer | Player rights = PLAYER	
[4/22/23 02:28PM] S1n1 used command ::ref | Player rights = PLAYER	
[4/22/23 02:31PM] S1n1 used command :::home | Player rights = PLAYER	
[4/22/23 02:32PM] S1n1 used command ::commands | Player rights = PLAYER	
[4/22/23 02:32PM] S1n1 used command ::veigar | Player rights = PLAYER	
[4/22/23 02:33PM] S1n1 used command ::ninetails | Player rights = PLAYER	
[4/22/23 02:34PM] S1n1 used command ::meruem | Player rights = PLAYER	
[4/22/23 02:35PM] S1n1 used command ::golden | Player rights = PLAYER	
[4/22/23 02:35PM] S1n1 used command ::golden | Player rights = PLAYER	
[4/22/23 02:35PM] S1n1 used command ::golden | Player rights = PLAYER	
[4/22/23 09:41PM] S1n1 used command ::VOTE | Player rights = PLAYER	
[4/22/23 09:46PM] S1n1 used command ::reward 1 | Player rights = PLAYER	
[4/22/23 09:49PM] S1n1 used command ::voteboss | Player rights = PLAYER	
[4/22/23 09:50PM] S1n1 used command ::pos | Player rights = PLAYER	
[4/22/23 10:02PM] S1n1 used command ::veigar | Player rights = PLAYER	
