[4/17/23 05:58AM] Keef used command ::vote | Player rights = PLAYER	
[4/17/23 06:00AM] Keef used command ::claimvote | Player rights = PLAYER	
[4/17/23 06:01AM] Keef used command ::claim | Player rights = PLAYER	
[4/17/23 06:01AM] Keef used command ::voted | Player rights = PLAYER	
[4/17/23 06:01AM] Keef used command ::claimvote | Player rights = PLAYER	
[4/17/23 06:02AM] Keef used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 06:10AM] Keef used command ::veigar | Player rights = PLAYER	
[4/17/23 06:11AM] Keef used command ::train | Player rights = PLAYER	
[4/17/23 06:25AM] Keef used command ::train | Player rights = PLAYER	
[4/17/23 06:30AM] Keef used command ::train | Player rights = PLAYER	
[4/17/23 06:39AM] Keef used command ::veigar | Player rights = PLAYER	
[4/17/23 06:41AM] Keef used command ::train | Player rights = PLAYER	
[4/17/23 06:47AM] Keef used command ::ref | Player rights = PLAYER	
[4/17/23 06:54AM] Keef used command ::upgrade | Player rights = PLAYER	
[4/17/23 07:09AM] Keef used command ::veigar | Player rights = PLAYER	
[4/17/23 05:00PM] Keef used command ::vote | Player rights = PLAYER	
[4/17/23 05:02PM] Keef used command ::veigar | Player rights = PLAYER	
[4/17/23 05:32PM] Keef used command ::veigar | Player rights = PLAYER	
[4/17/23 06:26PM] Keef used command ::vote | Player rights = PLAYER	
[4/17/23 06:28PM] Keef used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 06:32PM] Keef used command ::veigar | Player rights = PLAYER	
[4/17/23 06:55PM] Keef used command ::afk | Player rights = PLAYER	
[4/17/23 06:56PM] Keef used command ::shops | Player rights = PLAYER	
[4/17/23 07:02PM] Keef used command ::veigar | Player rights = PLAYER	
[4/17/23 11:41PM] Keef used command ::veigar | Player rights = PLAYER	
[4/18/23 11:35PM] Keef used command ::veigar | Player rights = PLAYER	
[4/18/23 11:38PM] Keef used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:01AM] Keef used command ::bank | Player rights = PLAYER	
[4/19/23 09:10PM] Keef used command ::vote | Player rights = PLAYER	
[4/19/23 09:13PM] Keef used command ::reward 1 | Player rights = PLAYER	
[4/19/23 09:13PM] Keef used command ::reward 1 | Player rights = PLAYER	
[4/19/23 09:13PM] Keef used command ::reward 1 | Player rights = PLAYER	
[4/23/23 01:01AM] Keef used command ::vote | Player rights = PLAYER	
[4/23/23 01:02AM] Keef used command ::veigar | Player rights = PLAYER	
[4/23/23 01:06AM] Keef used command ::reward 1 all | Player rights = PLAYER	
[4/26/23 04:00AM] Keef used command ::vote | Player rights = PLAYER	
[4/26/23 04:03AM] Keef used command ::reward 1 all | Player rights = PLAYER	
[4/26/23 04:04AM] Keef used command ::veigar | Player rights = GRACEFUL_DONATOR	
