[4/13/23 09:19PM] Walkchaos used command ::bank | Player rights = DEVELOPER	
[4/13/23 09:19PM] Walkchaos used command ::empty | Player rights = DEVELOPER	
[4/13/23 09:19PM] Walkchaos used command ::find owner | Player rights = DEVELOPER	
[4/13/23 09:20PM] Walkchaos used command ::item 22111 | Player rights = DEVELOPER	
[4/13/23 09:20PM] Walkchaos used command ::empty | Player rights = DEVELOPER	
[4/13/23 09:20PM] Walkchaos used command ::item 22231 | Player rights = DEVELOPER	
[4/13/23 09:20PM] Walkchaos used command ::item 22232 | Player rights = DEVELOPER	
[4/13/23 09:20PM] Walkchaos used command ::item 22233 | Player rights = DEVELOPER	
[4/13/23 09:20PM] Walkchaos used command ::item 22234 | Player rights = DEVELOPER	
[4/13/23 09:20PM] Walkchaos used command ::item 22235 | Player rights = DEVELOPER	
[4/13/23 09:20PM] Walkchaos used command ::item 22236 | Player rights = DEVELOPER	
[4/13/23 09:20PM] Walkchaos used command ::item 22237 | Player rights = DEVELOPER	
[4/13/23 09:20PM] Walkchaos used command ::item 22238 | Player rights = DEVELOPER	
[4/13/23 09:20PM] Walkchaos used command ::item 22239 | Player rights = DEVELOPER	
[4/13/23 09:20PM] Walkchaos used command ::item 22240 | Player rights = DEVELOPER	
[4/13/23 09:21PM] Walkchaos used command ::empty | Player rights = DEVELOPER	
[4/13/23 09:21PM] Walkchaos used command ::find halo | Player rights = DEVELOPER	
[4/13/23 09:21PM] Walkchaos used command ::item 4047 | Player rights = DEVELOPER	
[4/13/23 09:21PM] Walkchaos used command ::item 4046 | Player rights = DEVELOPER	
[4/13/23 09:21PM] Walkchaos used command ::item 4043 | Player rights = DEVELOPER	
[4/13/23 09:21PM] Walkchaos used command ::item 4041 | Player rights = DEVELOPER	
[4/13/23 09:22PM] Walkchaos used command ::item 4049 | Player rights = DEVELOPER	
[4/13/23 09:22PM] Walkchaos used command ::item 4037 | Player rights = DEVELOPER	
[4/13/23 09:22PM] Walkchaos used command ::find enhance | Player rights = DEVELOPER	
[4/13/23 09:22PM] Walkchaos used command ::item 1857 | Player rights = DEVELOPER	
[4/13/23 09:22PM] Walkchaos used command ::item 14882 | Player rights = DEVELOPER	
[4/13/23 09:22PM] Walkchaos used command ::find statuette | Player rights = DEVELOPER	
[4/13/23 09:23PM] Walkchaos used command ::item 15589 | Player rights = DEVELOPER	
[4/13/23 09:23PM] Walkchaos used command ::find collectors | Player rights = DEVELOPER	
[4/13/23 09:23PM] Walkchaos used command ::item 18888 | Player rights = DEVELOPER	
[4/13/23 09:23PM] Walkchaos used command ::find owner | Player rights = DEVELOPER	
[4/13/23 09:23PM] Walkchaos used command ::item 15834 | Player rights = DEVELOPER	
[4/13/23 09:24PM] Walkchaos used command ::item 8832 | Player rights = DEVELOPER	
[4/13/23 09:24PM] Walkchaos used command ::bank | Player rights = DEVELOPER	
[4/13/23 09:24PM] Walkchaos used command ::empty | Player rights = DEVELOPER	
[4/13/23 09:25PM] Walkchaos used command ::item 15003 20 | Player rights = DEVELOPER	
[4/13/23 09:25PM] Walkchaos used command ::item 15002 20 | Player rights = DEVELOPER	
[4/13/23 09:25PM] Walkchaos used command ::item 15004 20 | Player rights = DEVELOPER	
[4/13/23 09:25PM] Walkchaos used command ::item 20489 20 | Player rights = DEVELOPER	
[4/13/23 09:25PM] Walkchaos used command ::item 20491 20 | Player rights = DEVELOPER	
[4/13/23 09:25PM] Walkchaos used command ::item 20490 20 | Player rights = DEVELOPER	
[4/13/23 09:25PM] Walkchaos used command ::item 2736 100 | Player rights = DEVELOPER	
[4/13/23 09:25PM] Walkchaos used command ::bank | Player rights = DEVELOPER	
[4/13/23 09:27PM] Walkchaos used command ::reload s | Player rights = DEVELOPER	
[4/13/23 09:28PM] Walkchaos used command ::master | Player rights = DEVELOPER	
[4/13/23 09:28PM] Walkchaos used command ::soul | Player rights = DEVELOPER	
[4/13/23 09:28PM] Walkchaos used command ::find soul | Player rights = DEVELOPER	
[4/13/23 09:28PM] Walkchaos used command ::find sove | Player rights = DEVELOPER	
[4/13/23 09:28PM] Walkchaos used command ::find coup de | Player rights = DEVELOPER	
[4/13/23 09:28PM] Walkchaos used command ::item 23169 | Player rights = DEVELOPER	
[4/13/23 09:29PM] Walkchaos used command ::item 23167 | Player rights = DEVELOPER	
[4/13/23 09:29PM] Walkchaos used command ::item 23165 | Player rights = DEVELOPER	
[4/13/23 09:29PM] Walkchaos used command ::item 23168 | Player rights = DEVELOPER	
[4/13/23 09:29PM] Walkchaos used command ::item 23170 | Player rights = DEVELOPER	
[4/13/23 09:29PM] Walkchaos used command ::item 23166 | Player rights = DEVELOPER	
[4/13/23 09:30PM] Walkchaos used command ::random | Player rights = DEVELOPER	
[4/13/23 09:33PM] Walkchaos used command ::empty | Player rights = DEVELOPER	
[4/13/23 09:33PM] Walkchaos used command ::random | Player rights = DEVELOPER	
[4/13/23 09:34PM] Walkchaos used command ::empty | Player rights = DEVELOPER	
[4/13/23 09:34PM] Walkchaos used command ::find transfer | Player rights = DEVELOPER	
[4/13/23 09:34PM] Walkchaos used command ::item 8788 5 | Player rights = DEVELOPER	
[4/13/23 09:35PM] Walkchaos used command ::random | Player rights = DEVELOPER	
[4/13/23 09:35PM] Walkchaos used command ::empty | Player rights = DEVELOPER	
[4/13/23 09:36PM] Walkchaos used command ::random | Player rights = DEVELOPER	
[4/13/23 09:38PM] Walkchaos used command ::empty | Player rights = DEVELOPER	
[4/13/23 09:43PM] Walkchaos used command ::find bond | Player rights = DEVELOPER	
[4/13/23 09:43PM] Walkchaos used command ::item 23060 20 | Player rights = DEVELOPER	
[4/13/23 09:47PM] Walkchaos used command ::find bond | Player rights = DEVELOPER	
[4/13/23 09:47PM] Walkchaos used command ::item 23059 | Player rights = DEVELOPER	
[4/13/23 09:47PM] Walkchaos used command ::item 10029 2 | Player rights = DEVELOPER	
[4/13/23 09:48PM] Walkchaos used command ::item 17542 3 | Player rights = DEVELOPER	
[4/13/23 09:48PM] Walkchaos used command ::item 3094 3 | Player rights = DEVELOPER	
[4/13/23 09:48PM] Walkchaos used command ::item 3088 3 | Player rights = DEVELOPER	
[4/13/23 09:48PM] Walkchaos used command ::item 3082 3 | Player rights = DEVELOPER	
[4/13/23 09:50PM] Walkchaos used command ::item 14438 | Player rights = DEVELOPER	
[4/13/23 09:50PM] Walkchaos used command ::item 14440 | Player rights = DEVELOPER	
[4/13/23 09:50PM] Walkchaos used command ::item 14442 | Player rights = DEVELOPER	
[4/13/23 09:50PM] Walkchaos used command ::item 14444 | Player rights = DEVELOPER	
[4/13/23 09:50PM] Walkchaos used command ::item 14446 | Player rights = DEVELOPER	
[4/13/23 09:50PM] Walkchaos used command ::item 14448 | Player rights = DEVELOPER	
[4/13/23 09:51PM] Walkchaos used command ::find certi | Player rights = DEVELOPER	
