[4/16/23 01:47PM] Madara used command ::ents | Player rights = PLAYER	
[4/16/23 01:49PM] Madara used command ::train | Player rights = PLAYER	
[4/16/23 01:53PM] Madara used command ::Veigar | Player rights = PLAYER	
[4/16/23 01:54PM] Madara used command ::train | Player rights = PLAYER	
[4/16/23 02:18PM] Madara used command ::Train | Player rights = PLAYER	
[4/16/23 02:24PM] Madara used command ::veigar | Player rights = PLAYER	
[4/16/23 02:24PM] Madara used command ::golden | Player rights = PLAYER	
[4/16/23 02:36PM] Madara used command ::shops | Player rights = PLAYER	
[4/16/23 02:38PM] Madara used command ::shops | Player rights = PLAYER	
[4/16/23 02:53PM] Madara used command ::Veigar | Player rights = PLAYER	
[4/16/23 03:04PM] Madara used command ::discord | Player rights = PLAYER	
[4/16/23 03:15PM] Madara used command ::pos | Player rights = PLAYER	
[4/17/23 02:02PM] Madara used command ::Veigar | Player rights = PLAYER	
[4/17/23 02:31PM] Madara used command ::perks | Player rights = PLAYER	
[4/17/23 02:32PM] Madara used command ::veigar | Player rights = PLAYER	
[4/17/23 02:59PM] Madara used command ::voteboss | Player rights = PLAYER	
[4/17/23 03:02PM] Madara used command ::veigar | Player rights = PLAYER	
[4/17/23 03:12PM] Madara used command ::ref fpk merk | Player rights = PLAYER	
[4/17/23 03:30PM] Madara used command ::shops | Player rights = PLAYER	
[4/17/23 03:32PM] Madara used command ::veigar | Player rights = PLAYER	
[4/17/23 03:33PM] Madara used command ::ninetails | Player rights = PLAYER	
[4/17/23 03:37PM] Madara used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:39PM] Madara used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:39PM] Madara used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:39PM] Madara used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:39PM] Madara used command ::Reward  | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:40PM] Madara used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:40PM] Madara used command ::Reward 2 | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:40PM] Madara used command ::Reward 2 | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:40PM] Madara used command ::reward 3 | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:40PM] Madara used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:40PM] Madara used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:19PM] Madara used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:19PM] Madara used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:31PM] Madara used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:01PM] Madara used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:21PM] Madara used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:26PM] Madara used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:29PM] Madara used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:29PM] Madara used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:36PM] Madara used command ::Shops | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:36PM] Madara used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:36PM] Madara used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:02PM] Madara used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:30PM] Madara used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:29PM] Madara used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:30PM] Madara used command ::store | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:11PM] Madara used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:20PM] Madara used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:40PM] Madara used command ::VEIGAR | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:50PM] Madara used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:55PM] Madara used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:58PM] Madara used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:01PM] Madara used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:01PM] Madara used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:01PM] Madara used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:01PM] Madara used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:01PM] Madara used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:01PM] Madara used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:12PM] Madara used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:24PM] Madara used command ::store | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:14PM] Madara used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:16PM] Madara used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:17PM] Madara used command ::yellowroom | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:19PM] Madara used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:22PM] Madara used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:22PM] Madara used command ::claimvote 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:22PM] Madara used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:22PM] Madara used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:22PM] Madara used command ::Voted | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:22PM] Madara used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:23PM] Madara used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:23PM] Madara used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:23PM] Madara used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:30PM] Madara used command ::progresion | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:30PM] Madara used command ::progression | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:49PM] Madara used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:00PM] Madara used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:00PM] Madara used command ::Reward 3 | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:00PM] Madara used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:18PM] Madara used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:41PM] Madara used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:49PM] Madara used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:08PM] Madara used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:08PM] Madara used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:19PM] Madara used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:40PM] Madara used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:43PM] Madara used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:49PM] Madara used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:05PM] Madara used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:02PM] Madara used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:07PM] Madara used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:13PM] Madara used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 09:02PM] Madara used command ::Veigar | Player rights = CLERIC_DONATOR	
