[4/15/23 05:29PM] Shaxx used command ::veigar | Player rights = PLAYER	
[4/15/23 05:29PM] Shaxx used command ::ninetails | Player rights = PLAYER	
[4/15/23 05:58PM] Shaxx used command ::veigar | Player rights = PLAYER	
[4/15/23 06:29PM] Shaxx used command ::veigar | Player rights = PLAYER	
[4/15/23 06:30PM] Shaxx used command ::ninetails | Player rights = PLAYER	
[4/15/23 06:31PM] Shaxx used command ::meruem | Player rights = PLAYER	
[4/15/23 06:32PM] Shaxx used command ::golden | Player rights = PLAYER	
[4/15/23 06:59PM] Shaxx used command ::veigar | Player rights = PLAYER	
[4/15/23 07:29PM] Shaxx used command ::veigar | Player rights = PLAYER	
[4/15/23 07:50PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:52PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:55PM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:55PM] Shaxx used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:55PM] Shaxx used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:57PM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:57PM] Shaxx used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:28AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:29AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:32AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:50AM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:24AM] Shaxx used command ::muruem | Player rights = GRACEFUL_DONATOR	
