[4/20/23 09:25PM] Rak used command ::vote | Player rights = PLAYER	
[4/20/23 09:26PM] Rak used command ::voted | Player rights = PLAYER	
[4/20/23 09:27PM] Rak used command ::voted | Player rights = PLAYER	
[4/20/23 09:27PM] Rak used command ::claimvotes | Player rights = PLAYER	
[4/20/23 09:27PM] Rak used command ::commands | Player rights = PLAYER	
[4/20/23 09:27PM] Rak used command ::voted | Player rights = PLAYER	
[4/20/23 09:31PM] Rak used command ::reward1all | Player rights = PLAYER	
[4/20/23 09:32PM] Rak used command ::reward | Player rights = PLAYER	
[4/20/23 09:32PM] Rak used command ::rewardall | Player rights = PLAYER	
[4/20/23 09:32PM] Rak used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 09:33PM] Rak used command ::veigar | Player rights = PLAYER	
[4/21/23 03:23AM] Rak used command ::train | Player rights = PLAYER	
[4/21/23 03:44AM] Rak used command ::noble | Player rights = PLAYER	
[4/21/23 03:45AM] Rak used command ::ref fpkmerc | Player rights = PLAYER	
[4/21/23 03:46AM] Rak used command ::ref fpkmer | Player rights = PLAYER	
[4/21/23 03:46AM] Rak used command ::ref fpkmerk | Player rights = PLAYER	
[4/21/23 03:47AM] Rak used command ::ref fpkmerk | Player rights = PLAYER	
[4/21/23 03:47AM] Rak used command ::reffpkmerk | Player rights = PLAYER	
[4/21/23 03:47AM] Rak used command ::ref fpkmerk | Player rights = PLAYER	
[4/21/23 03:48AM] Rak used command ::reg | Player rights = PLAYER	
[4/21/23 03:48AM] Rak used command ::ref | Player rights = PLAYER	
[4/21/23 03:48AM] Rak used command ::ref | Player rights = PLAYER	
[4/21/23 03:48AM] Rak used command ::ref | Player rights = PLAYER	
[4/21/23 03:49AM] Rak used command ::ref wr3cked | Player rights = PLAYER	
[4/21/23 03:49AM] Rak used command ::ref alone | Player rights = PLAYER	
[4/21/23 03:50AM] Rak used command ::ref alone | Player rights = PLAYER	
[4/21/23 03:51AM] Rak used command ::ref alone | Player rights = PLAYER	
[4/21/23 03:51AM] Rak used command ::ref wr3cked | Player rights = PLAYER	
[4/21/23 03:52AM] Rak used command ::ref alone | Player rights = PLAYER	
[4/21/23 03:52AM] Rak used command ::Ref | Player rights = PLAYER	
[4/21/23 03:52AM] Rak used command ::Ref alone | Player rights = PLAYER	
[4/21/23 03:52AM] Rak used command ::ref fpkmerk | Player rights = PLAYER	
[4/21/23 03:53AM] Rak used command ::ref | Player rights = PLAYER	
[4/21/23 04:09AM] Rak used command ::Starter | Player rights = PLAYER	
[4/21/23 04:09AM] Rak used command ::starter | Player rights = PLAYER	
[4/21/23 04:12AM] Rak used command ::starter | Player rights = PLAYER	
[4/21/23 04:21AM] Rak used command ::vboss | Player rights = PLAYER	
[4/21/23 04:33AM] Rak used command ::veigar | Player rights = PLAYER	
[4/21/23 04:36AM] Rak used command ::ninetails | Player rights = PLAYER	
[4/21/23 04:38AM] Rak used command ::meruem | Player rights = PLAYER	
[4/21/23 04:45AM] Rak used command ::achievements | Player rights = PLAYER	
[4/21/23 04:45AM] Rak used command ::achievements | Player rights = PLAYER	
[4/21/23 04:47AM] Rak used command ::reward 1all | Player rights = PLAYER	
[4/21/23 04:47AM] Rak used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 05:27AM] Rak used command ::curses | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:28AM] Rak used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:32AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:34AM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:35AM] Rak used command ::b | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:35AM] Rak used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:02AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:04AM] Rak used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:05AM] Rak used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:05AM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:13AM] Rak used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:16AM] Rak used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:16AM] Rak used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:17AM] Rak used command ::itemstats | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:17AM] Rak used command ::stats | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:17AM] Rak used command ::itemstats | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:17AM] Rak used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:17AM] Rak used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:17AM] Rak used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:18AM] Rak used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:18AM] Rak used command ::forums | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:33AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:34AM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35AM] Rak used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:47AM] Rak used command ::whatdrops obsidian crossbow | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:53AM] Rak used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:57AM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:03AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:04AM] Rak used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:02AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:04AM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:32AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:33AM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:34AM] Rak used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:02AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:11AM] Rak used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:11AM] Rak used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:11AM] Rak used command ::Shops | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:11AM] Rak used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:12AM] Rak used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:13AM] Rak used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:36PM] Rak used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:37PM] Rak used command ::rewards 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:02PM] Rak used command ::vigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:03PM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:32PM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:33PM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:34PM] Rak used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35PM] Rak used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:36PM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:08PM] Rak used command ::slayer | Player rights = GRACEFUL_DONATOR	
