[4/22/23 06:17PM] Holytokes used command ::commands | Player rights = PLAYER	
[4/22/23 06:20PM] Holytokes used command ::refer | Player rights = PLAYER	
[4/22/23 06:25PM] Holytokes used command ::noble | Player rights = PLAYER	
[4/22/23 06:33PM] Holytokes used command ::veigar | Player rights = PLAYER	
[4/22/23 06:33PM] Holytokes used command ::ninetails | Player rights = PLAYER	
[4/22/23 06:33PM] Holytokes used command ::veigar | Player rights = PLAYER	
[4/22/23 06:34PM] Holytokes used command ::ninetails | Player rights = PLAYER	
[4/22/23 06:34PM] Holytokes used command ::veigar | Player rights = PLAYER	
[4/22/23 06:34PM] Holytokes used command ::ninetails | Player rights = PLAYER	
[4/22/23 06:35PM] Holytokes used command ::train | Player rights = PLAYER	
[4/23/23 09:15PM] Holytokes used command ::bank | Player rights = PLAYER	
[4/23/23 09:24PM] Holytokes used command ::train | Player rights = PLAYER	
[4/23/23 09:31PM] Holytokes used command ::Veigar | Player rights = PLAYER	
[4/23/23 09:33PM] Holytokes used command ::ninetails | Player rights = PLAYER	
[4/23/23 09:42PM] Holytokes used command ::train | Player rights = PLAYER	
[4/25/23 09:54PM] Holytokes used command ::pos | Player rights = PLAYER	
[4/25/23 10:01PM] Holytokes used command ::veigar | Player rights = PLAYER	
[4/25/23 10:15PM] Holytokes used command ::shops | Player rights = PLAYER	
[4/25/23 10:15PM] Holytokes used command ::shop | Player rights = PLAYER	
[4/25/23 10:16PM] Holytokes used command ::donate | Player rights = PLAYER	
[4/25/23 10:32PM] Holytokes used command ::veigar | Player rights = PLAYER	
[4/25/23 10:34PM] Holytokes used command ::ninetails | Player rights = PLAYER	
[4/25/23 10:35PM] Holytokes used command ::commands | Player rights = PLAYER	
