[4/19/23 04:37PM] Rebel used command ::refer | Player rights = PLAYER	
[4/19/23 04:44PM] Rebel used command ::veigar | Player rights = PLAYER	
[4/19/23 04:46PM] Rebel used command ::voteboss | Player rights = PLAYER	
[4/19/23 04:48PM] Rebel used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/25/23 04:58PM] Rebel used command ::train | Player rights = GRACEFUL_DONATOR	
[4/25/23 04:58PM] Rebel used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/25/23 04:59PM] Rebel used command ::demon | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:00PM] Rebel used command ::train | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:01PM] Rebel used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:08PM] Rebel used command ::TRAIN | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:08PM] Rebel used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:08PM] Rebel used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:09PM] Rebel used command ::train | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:11PM] Rebel used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:11PM] Rebel used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:11PM] Rebel used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:11PM] Rebel used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:11PM] Rebel used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:11PM] Rebel used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:11PM] Rebel used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:12PM] Rebel used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/25/23 05:18PM] Rebel used command ::home | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:01PM] Rebel used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:03PM] Rebel used command ::train | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:03PM] Rebel used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:03PM] Rebel used command ::teleport | Player rights = GRACEFUL_DONATOR	
