[4/17/23 06:07AM] Tao used command ::ref | Player rights = PLAYER	
[4/17/23 06:10AM] Tao used command ::viegar | Player rights = PLAYER	
[4/17/23 06:10AM] Tao used command ::veigar | Player rights = PLAYER	
[4/17/23 06:12AM] Tao used command ::train | Player rights = PLAYER	
[4/17/23 06:24AM] Tao used command ::train | Player rights = PLAYER	
[4/17/23 06:37AM] Tao used command ::vote | Player rights = PLAYER	
[4/17/23 06:38AM] Tao used command ::reward 1  | Player rights = PLAYER	
[4/17/23 06:38AM] Tao used command ::reward 1 | Player rights = PLAYER	
[4/17/23 06:39AM] Tao used command ::zones | Player rights = PLAYER	
[4/17/23 06:39AM] Tao used command ::golden | Player rights = PLAYER	
[4/17/23 06:39AM] Tao used command ::veigar | Player rights = PLAYER	
[4/17/23 06:41AM] Tao used command ::ninetails | Player rights = PLAYER	
[4/17/23 06:41AM] Tao used command ::golden | Player rights = PLAYER	
[4/17/23 06:42AM] Tao used command ::golden | Player rights = PLAYER	
[4/17/23 07:09AM] Tao used command ::veigar | Player rights = PLAYER	
[4/17/23 07:09AM] Tao used command ::store | Player rights = PLAYER	
[4/17/23 07:55AM] Tao used command ::home | Player rights = PLAYER	
[4/17/23 07:56AM] Tao used command ::shops | Player rights = PLAYER	
[4/17/23 07:56AM] Tao used command ::shops | Player rights = PLAYER	
[4/17/23 07:56AM] Tao used command ::shop | Player rights = PLAYER	
[4/17/23 07:56AM] Tao used command ::market | Player rights = PLAYER	
[4/17/23 08:07AM] Tao used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:10AM] Tao used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:39AM] Tao used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:41AM] Tao used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:38AM] Tao used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:39AM] Tao used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:39AM] Tao used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:39AM] Tao used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:39AM] Tao used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:42AM] Tao used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:44AM] Tao used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:45AM] Tao used command ::golden | Player rights = GRACEFUL_DONATOR	
