[4/16/23 05:12AM] Troy used command ::ref walkchaos | Player rights = PLAYER	
[4/16/23 05:14AM] Troy used command ::totem | Player rights = PLAYER	
[4/16/23 05:14AM] Troy used command ::tasks | Player rights = PLAYER	
[4/16/23 05:15AM] Troy used command ::collection | Player rights = PLAYER	
[4/16/23 05:15AM] Troy used command ::train | Player rights = PLAYER	
[4/16/23 05:22AM] Troy used command ::train | Player rights = PLAYER	
[4/16/23 05:23AM] Troy used command ::veigar | Player rights = PLAYER	
[4/16/23 05:25AM] Troy used command ::ninetails | Player rights = PLAYER	
[4/16/23 05:25AM] Troy used command ::meruemomg | Player rights = PLAYER	
[4/16/23 05:26AM] Troy used command ::meruem | Player rights = PLAYER	
[4/16/23 05:28AM] Troy used command ::golden | Player rights = PLAYER	
[4/16/23 05:29AM] Troy used command ::golden | Player rights = PLAYER	
[4/16/23 05:30AM] Troy used command ::golden | Player rights = PLAYER	
[4/16/23 05:47AM] Troy used command ::task | Player rights = PLAYER	
[4/16/23 05:47AM] Troy used command ::tasks | Player rights = PLAYER	
[4/16/23 05:48AM] Troy used command ::forge | Player rights = PLAYER	
[4/16/23 05:49AM] Troy used command ::coll | Player rights = PLAYER	
[4/16/23 05:49AM] Troy used command ::collection | Player rights = PLAYER	
[4/16/23 05:53AM] Troy used command ::veigar | Player rights = PLAYER	
[4/16/23 06:06AM] Troy used command ::coll | Player rights = PLAYER	
[4/16/23 06:06AM] Troy used command ::collection | Player rights = PLAYER	
[4/16/23 06:09AM] Troy used command ::collection | Player rights = PLAYER	
[4/16/23 06:17AM] Troy used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:17AM] Troy used command ::upg | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:17AM] Troy used command ::combine | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:22AM] Troy used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23AM] Troy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:26AM] Troy used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:28AM] Troy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:29AM] Troy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:31AM] Troy used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:32AM] Troy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:35AM] Troy used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:35AM] Troy used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:37AM] Troy used command ::slayer | Player rights = GRACEFUL_DONATOR	
