[4/17/23 03:33AM] Kappa used command ::train | Player rights = PLAYER	
[4/17/23 03:36AM] Kappa used command ::train | Player rights = PLAYER	
[4/17/23 03:39AM] Kappa used command ::train | Player rights = PLAYER	
[4/17/23 03:39AM] Kappa used command ::veigar | Player rights = PLAYER	
[4/17/23 03:41AM] Kappa used command ::ninetails | Player rights = PLAYER	
[4/17/23 03:42AM] Kappa used command ::meruem | Player rights = PLAYER	
[4/17/23 03:44AM] Kappa used command ::golden | Player rights = PLAYER	
[4/17/23 03:44AM] Kappa used command ::train | Player rights = PLAYER	
[4/17/23 03:48AM] Kappa used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:48AM] Kappa used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:49AM] Kappa used command ::reward 1 | Player rights = PLAYER	
[4/17/23 04:08AM] Kappa used command ::veigar | Player rights = PLAYER	
[4/17/23 04:10AM] Kappa used command ::veigar | Player rights = PLAYER	
[4/17/23 04:25AM] Kappa used command ::train | Player rights = PLAYER	
[4/17/23 04:39AM] Kappa used command ::veigar | Player rights = PLAYER	
[4/17/23 04:40AM] Kappa used command ::ninetails | Player rights = PLAYER	
[4/17/23 04:42AM] Kappa used command ::train | Player rights = PLAYER	
[4/17/23 09:00AM] Kappa used command ::train | Player rights = PLAYER	
[4/17/23 09:01AM] Kappa used command ::home | Player rights = PLAYER	
[4/17/23 09:02AM] Kappa used command ::yellowboss | Player rights = PLAYER	
[4/17/23 09:02AM] Kappa used command ::wboss | Player rights = PLAYER	
[4/17/23 09:03AM] Kappa used command ::train | Player rights = PLAYER	
[4/17/23 09:11AM] Kappa used command ::train | Player rights = PLAYER	
[4/17/23 09:39AM] Kappa used command ::zeigar | Player rights = PLAYER	
[4/17/23 09:39AM] Kappa used command ::veigar | Player rights = PLAYER	
[4/17/23 09:42AM] Kappa used command ::ninetails | Player rights = PLAYER	
[4/17/23 09:44AM] Kappa used command ::meruem | Player rights = PLAYER	
[4/17/23 09:45AM] Kappa used command ::golden | Player rights = PLAYER	
