[4/19/23 02:53PM] Swigglecake used command ::refer | Player rights = PLAYER	
[4/19/23 03:09PM] Swigglecake used command ::pos | Player rights = PLAYER	
[4/19/23 03:52PM] Swigglecake used command ::noble | Player rights = PLAYER	
[4/19/23 03:58PM] Swigglecake used command ::train | Player rights = PLAYER	
[4/19/23 04:14PM] Swigglecake used command ::veigar | Player rights = PLAYER	
[4/19/23 05:14PM] Swigglecake used command ::veigar | Player rights = PLAYER	
[4/19/23 06:14PM] Swigglecake used command ::veigar | Player rights = PLAYER	
[4/19/23 06:15PM] Swigglecake used command ::ninetails | Player rights = PLAYER	
[4/19/23 06:16PM] Swigglecake used command ::meruem | Player rights = PLAYER	
[4/19/23 06:16PM] Swigglecake used command ::golden | Player rights = PLAYER	
[4/19/23 07:14PM] Swigglecake used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:14PM] Swigglecake used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:15PM] Swigglecake used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:17PM] Swigglecake used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:01PM] Swigglecake used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:02PM] Swigglecake used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:03PM] Swigglecake used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:04PM] Swigglecake used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:04PM] Swigglecake used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:04PM] Swigglecake used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:05PM] Swigglecake used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:06PM] Swigglecake used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:25PM] Swigglecake used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:26PM] Swigglecake used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:32PM] Swigglecake used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:34PM] Swigglecake used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:57PM] Swigglecake used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:57PM] Swigglecake used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:02PM] Swigglecake used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:32AM] Swigglecake used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:34AM] Swigglecake used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:35AM] Swigglecake used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:36AM] Swigglecake used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:02AM] Swigglecake used command ::veigar | Player rights = GRACEFUL_DONATOR	
