[4/21/23 06:10AM] Purple used command ::ref fpk merk | Player rights = PLAYER	
[4/21/23 06:14AM] Purple used command ::ref alone | Player rights = PLAYER	
[4/21/23 05:19PM] Purple used command ::vote | Player rights = PLAYER	
[4/21/23 05:22PM] Purple used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 05:23PM] Purple used command ::shops | Player rights = PLAYER	
[4/21/23 05:24PM] Purple used command ::slayer | Player rights = PLAYER	
[4/21/23 05:31PM] Purple used command ::home | Player rights = PLAYER	
[4/21/23 05:38PM] Purple used command ::startertasks | Player rights = PLAYER	
[4/21/23 05:38PM] Purple used command ::starter | Player rights = PLAYER	
[4/21/23 05:38PM] Purple used command ::progressions | Player rights = PLAYER	
[4/21/23 05:38PM] Purple used command ::progression | Player rights = PLAYER	
[4/21/23 05:44PM] Purple used command ::donate | Player rights = PLAYER	
[4/21/23 06:17PM] Purple used command ::home | Player rights = PLAYER	
[4/21/23 06:20PM] Purple used command ::pos | Player rights = PLAYER	
[4/21/23 06:32PM] Purple used command ::home | Player rights = PLAYER	
[4/21/23 06:36PM] Purple used command ::vboss | Player rights = PLAYER	
