[4/15/23 12:36PM] Rokas used command ::starter | Player rights = PLAYER	
[4/15/23 12:37PM] Rokas used command ::home | Player rights = PLAYER	
[4/15/23 12:37PM] Rokas used command ::starter | Player rights = PLAYER	
[4/15/23 12:37PM] Rokas used command ::vote | Player rights = PLAYER	
[4/15/23 12:38PM] Rokas used command ::claimvotes | Player rights = PLAYER	
[4/15/23 12:38PM] Rokas used command ::claimvote | Player rights = PLAYER	
[4/15/23 12:38PM] Rokas used command ::redeem | Player rights = PLAYER	
[4/15/23 12:38PM] Rokas used command ::claimvoter | Player rights = PLAYER	
[4/15/23 12:38PM] Rokas used command ::claimvote | Player rights = PLAYER	
[4/15/23 12:39PM] Rokas used command ::rewards 1 all | Player rights = PLAYER	
[4/15/23 12:45PM] Rokas used command ::vboss | Player rights = PLAYER	
[4/15/23 12:46PM] Rokas used command ::home | Player rights = PLAYER	
[4/15/23 12:50PM] Rokas used command ::starter | Player rights = PLAYER	
[4/15/23 12:59PM] Rokas used command ::veigar | Player rights = PLAYER	
[4/15/23 12:59PM] Rokas used command ::starter | Player rights = PLAYER	
[4/15/23 01:04PM] Rokas used command ::progression | Player rights = PLAYER	
[4/15/23 01:12PM] Rokas used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 01:13PM] Rokas used command ::starter | Player rights = PLAYER	
[4/15/23 01:28PM] Rokas used command ::veigar | Player rights = PLAYER	
[4/15/23 01:29PM] Rokas used command ::ninetails | Player rights = PLAYER	
[4/15/23 01:38PM] Rokas used command ::totem | Player rights = PLAYER	
[4/15/23 01:40PM] Rokas used command ::kills | Player rights = PLAYER	
[4/15/23 01:41PM] Rokas used command ::npckills | Player rights = PLAYER	
[4/15/23 01:41PM] Rokas used command ::kills | Player rights = PLAYER	
[4/15/23 01:54PM] Rokas used command ::dropon | Player rights = PLAYER	
[4/15/23 01:59PM] Rokas used command ::veigar | Player rights = PLAYER	
[4/15/23 02:02PM] Rokas used command ::vboss | Player rights = PLAYER	
[4/15/23 02:29PM] Rokas used command ::ninetails | Player rights = PLAYER	
[4/15/23 02:29PM] Rokas used command ::veigar | Player rights = PLAYER	
[4/15/23 02:29PM] Rokas used command ::ninetails | Player rights = PLAYER	
[4/15/23 02:29PM] Rokas used command ::meruem | Player rights = PLAYER	
[4/15/23 02:45PM] Rokas used command ::dropoff | Player rights = PLAYER	
[4/15/23 02:54PM] Rokas used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:58PM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:00PM] Rokas used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:02PM] Rokas used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:26PM] Rokas used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:28PM] Rokas used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:29PM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:34PM] Rokas used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:34PM] Rokas used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:40PM] Rokas used command ::kills | Player rights = GRACEFUL_DONATOR	
