[4/16/23 06:49PM] Death used command ::ref | Player rights = PLAYER	
[4/16/23 06:53PM] Death used command ::vegar | Player rights = PLAYER	
[4/16/23 06:53PM] Death used command ::veigar | Player rights = PLAYER	
[4/16/23 06:56PM] Death used command ::pos | Player rights = PLAYER	
[4/17/23 12:08PM] Death used command ::veigar | Player rights = PLAYER	
[4/17/23 12:09PM] Death used command ::meruem | Player rights = PLAYER	
[4/17/23 12:11PM] Death used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:13PM] Death used command ::golden | Player rights = PLAYER	
[4/17/23 12:13PM] Death used command ::golden | Player rights = PLAYER	
[4/17/23 12:14PM] Death used command ::golden | Player rights = PLAYER	
[4/17/23 12:15PM] Death used command ::voteboss | Player rights = PLAYER	
[4/17/23 12:17PM] Death used command ::veigar | Player rights = PLAYER	
[4/17/23 12:17PM] Death used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:18PM] Death used command ::meruem | Player rights = PLAYER	
[4/17/23 12:18PM] Death used command ::golden | Player rights = PLAYER	
[4/17/23 12:19PM] Death used command ::vboss | Player rights = PLAYER	
[4/17/23 12:22PM] Death used command ::pos | Player rights = PLAYER	
[4/17/23 12:32PM] Death used command ::veigar | Player rights = PLAYER	
[4/17/23 12:33PM] Death used command ::ninetail | Player rights = PLAYER	
[4/17/23 12:33PM] Death used command ::ninetail | Player rights = PLAYER	
[4/17/23 12:35PM] Death used command ::altar | Player rights = PLAYER	
[4/17/23 12:40PM] Death used command ::voteboss | Player rights = PLAYER	
[4/17/23 01:32PM] Death used command ::veigar | Player rights = PLAYER	
[4/17/23 01:33PM] Death used command ::ninetails | Player rights = PLAYER	
[4/17/23 01:33PM] Death used command ::golden | Player rights = PLAYER	
[4/17/23 06:02PM] Death used command ::veigar | Player rights = PLAYER	
[4/17/23 06:03PM] Death used command ::veigar | Player rights = PLAYER	
[4/17/23 06:09PM] Death used command ::yell trading 28 1 scrolls for a decent setup pm me | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:22PM] Death used command ::yell trading 156k and 5 votes for a decent weapon with x2/3 kc  | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:25PM] Death used command ::yell selling 5 votes pm me | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:29PM] Death used command ::yell buying weapon with x3 kc 230k pm me | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:32PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:39PM] Death used command ::yell buying weapon 230k pm me | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:49PM] Death used command ::yell buying weapon 230k pm me | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:19PM] Death used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:19PM] Death used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:20PM] Death used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:21PM] Death used command ::yell buying weapon 230k | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:24PM] Death used command ::yell selling 28 1scrolls pm me | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:29PM] Death used command ::yell there anyway to speed up xp for prayer for vets? | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:36PM] Death used command :: donated | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:44PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:53PM] Death used command ::yell trading 230k and 28 1 scrolls for a okay setup pm me | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:58PM] Death used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:59PM] Death used command ::redeem all | Player rights = GRACEFUL_DONATOR	
