[4/15/23 10:20AM] Smooth used command ::train | Player rights = PLAYER	
[4/15/23 10:22AM] Smooth used command ::vote | Player rights = PLAYER	
[4/15/23 10:23AM] Smooth used command ::train | Player rights = PLAYER	
[4/15/23 10:25AM] Smooth used command ::reward 1 | Player rights = PLAYER	
[4/15/23 10:28AM] Smooth used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 10:28AM] Smooth used command ::home | Player rights = PLAYER	
[4/15/23 10:30AM] Smooth used command ::train | Player rights = PLAYER	
[4/15/23 10:37AM] Smooth used command ::homer | Player rights = PLAYER	
[4/15/23 10:37AM] Smooth used command ::home | Player rights = PLAYER	
[4/15/23 10:38AM] Smooth used command ::train | Player rights = PLAYER	
[4/15/23 10:44AM] Smooth used command ::home | Player rights = PLAYER	
[4/15/23 10:44AM] Smooth used command ::Train | Player rights = PLAYER	
[4/15/23 10:45AM] Smooth used command ::Train | Player rights = PLAYER	
