[4/15/23 08:56AM] Frog used command ::starterzone | Player rights = PLAYER	
[4/15/23 08:57AM] Frog used command ::vote | Player rights = PLAYER	
[4/15/23 08:57AM] Frog used command ::ref | Player rights = PLAYER	
[4/15/23 08:58AM] Frog used command ::veigar | Player rights = PLAYER	
[4/15/23 09:01AM] Frog used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:06AM] Frog used command ::vote | Player rights = PLAYER	
[4/15/23 09:07AM] Frog used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 09:12AM] Frog used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:28AM] Frog used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30AM] Frog used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31AM] Frog used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58AM] Frog used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:41AM] Frog used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:42AM] Frog used command :::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:42AM] Frog used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:42AM] Frog used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:42AM] Frog used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:45AM] Frog used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:47AM] Frog used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:50AM] Frog used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:50AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:00AM] Frog used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:08AM] Frog used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:09AM] Frog used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:39AM] Frog used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:41AM] Frog used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:42AM] Frog used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:42AM] Frog used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:42AM] Frog used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:44AM] Frog used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:39AM] Frog used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:40AM] Frog used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:36AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:39AM] Frog used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:42AM] Frog used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:44AM] Frog used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:45AM] Frog used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:47AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:48AM] Frog used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:48AM] Frog used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:48AM] Frog used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:57AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:02AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:04AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:06AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:06AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:09AM] Frog used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:28AM] Frog used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:33AM] Frog used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:34AM] Frog used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:35AM] Frog used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:36AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:38AM] Frog used command ::collect | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:38AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:44AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:51AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:53AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:59AM] Frog used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:18PM] Frog used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:19PM] Frog used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:41PM] Frog used command ::veigar | Player rights = GRACEFUL_DONATOR	
