[4/15/23 01:12PM] Hank used command ::ref | Player rights = PLAYER	
[4/15/23 01:16PM] Hank used command ::donate | Player rights = PLAYER	
[4/15/23 01:21PM] Hank used command ::claim | Player rights = PLAYER	
[4/15/23 01:21PM] Hank used command ::claim | Player rights = PLAYER	
[4/15/23 01:22PM] Hank used command ::donate | Player rights = PLAYER	
[4/15/23 01:23PM] Hank used command ::train | Player rights = PLAYER	
[4/15/23 01:37PM] Hank used command ::home | Player rights = PLAYER	
[4/15/23 01:38PM] Hank used command ::train | Player rights = PLAYER	
[4/15/23 01:43PM] Hank used command ::curses | Player rights = PLAYER	
[4/15/23 01:54PM] Hank used command ::dropon | Player rights = PLAYER	
[4/15/23 01:56PM] Hank used command ::home | Player rights = PLAYER	
[4/15/23 01:59PM] Hank used command ::veigar | Player rights = PLAYER	
[4/15/23 02:02PM] Hank used command ::voteboss | Player rights = PLAYER	
[4/15/23 02:09PM] Hank used command ::home | Player rights = PLAYER	
[4/15/23 02:15PM] Hank used command ::home | Player rights = PLAYER	
[4/15/23 02:26PM] Hank used command ::yell wlecome all new players | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:28PM] Hank used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:36PM] Hank used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:36PM] Hank used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:36PM] Hank used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:36PM] Hank used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:42PM] Hank used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:17PM] Hank used command ::walkchaos | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:06PM] Hank used command ::home | Player rights = GRACEFUL_DONATOR	
