[4/16/23 05:57AM] Vaflius used command ::reff | Player rights = PLAYER	
[4/16/23 05:57AM] Vaflius used command ::ref | Player rights = PLAYER	
[4/16/23 06:11AM] Vaflius used command ::teleport | Player rights = PLAYER	
[4/16/23 06:19AM] Vaflius used command ::veigar | Player rights = PLAYER	
[4/16/23 06:23AM] Vaflius used command ::veigar | Player rights = PLAYER	
[4/16/23 06:29AM] Vaflius used command ::ninetails | Player rights = PLAYER	
[4/16/23 06:30AM] Vaflius used command ::meruem | Player rights = PLAYER	
[4/17/23 09:56AM] Vaflius used command ::home | Player rights = PLAYER	
[4/17/23 10:09AM] Vaflius used command ::Veigar | Player rights = PLAYER	
[4/17/23 10:33AM] Vaflius used command ::ninetails | Player rights = PLAYER	
[4/17/23 10:34AM] Vaflius used command ::golden | Player rights = PLAYER	
[4/17/23 10:34AM] Vaflius used command ::meruem | Player rights = PLAYER	
[4/17/23 10:35AM] Vaflius used command ::golden | Player rights = PLAYER	
[4/17/23 10:36AM] Vaflius used command ::vboss | Player rights = PLAYER	
[4/17/23 10:36AM] Vaflius used command ::home | Player rights = PLAYER	
[4/17/23 10:44AM] Vaflius used command ::voted | Player rights = PLAYER	
[4/17/23 10:45AM] Vaflius used command ::vote | Player rights = PLAYER	
[4/17/23 10:45AM] Vaflius used command ::reward 1 | Player rights = PLAYER	
[4/17/23 10:45AM] Vaflius used command ::reward 1 | Player rights = PLAYER	
[4/17/23 10:45AM] Vaflius used command ::Store | Player rights = PLAYER	
[4/17/23 10:51AM] Vaflius used command ::home | Player rights = PLAYER	
[4/17/23 10:55AM] Vaflius used command ::home | Player rights = PLAYER	
[4/17/23 11:02AM] Vaflius used command ::Veigar | Player rights = PLAYER	
[4/17/23 11:03AM] Vaflius used command ::meruem | Player rights = PLAYER	
[4/17/23 11:04AM] Vaflius used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:05AM] Vaflius used command ::progression | Player rights = PLAYER	
[4/17/23 11:05AM] Vaflius used command ::golden | Player rights = PLAYER	
[4/17/23 11:05AM] Vaflius used command ::tasks | Player rights = PLAYER	
[4/17/23 11:09AM] Vaflius used command ::meruem | Player rights = PLAYER	
[4/17/23 11:10AM] Vaflius used command ::meruem | Player rights = PLAYER	
[4/17/23 11:12AM] Vaflius used command ::home | Player rights = PLAYER	
[4/17/23 11:22AM] Vaflius used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:28AM] Vaflius used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:29AM] Vaflius used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:32AM] Vaflius used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Vaflius used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Vaflius used command ::golden' | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Vaflius used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:35AM] Vaflius used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:35AM] Vaflius used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:40AM] Vaflius used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:44AM] Vaflius used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:52AM] Vaflius used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Vaflius used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Vaflius used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:56AM] Vaflius used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:58AM] Vaflius used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Vaflius used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:08PM] Vaflius used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Vaflius used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Vaflius used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:13PM] Vaflius used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:14PM] Vaflius used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Vaflius used command ::fps | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Vaflius used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Vaflius used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Vaflius used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Vaflius used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Vaflius used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] Vaflius used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:20PM] Vaflius used command ::fps | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:32PM] Vaflius used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Vaflius used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Vaflius used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:38PM] Vaflius used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:06AM] Vaflius used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 10:13AM] Vaflius used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:15AM] Vaflius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 10:17AM] Vaflius used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 10:17AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 10:26AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 10:26AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:27AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:32AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:34AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:36AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:43AM] Vaflius used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:46AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 10:46AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:03AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 11:03AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:11AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 11:13AM] Vaflius used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:15AM] Vaflius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:16AM] Vaflius used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:16AM] Vaflius used command ::Dr | Player rights = CLERIC_DONATOR	
[4/19/23 11:17AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:20AM] Vaflius used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:21AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 11:21AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:17AM] Vaflius used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 09:17AM] Vaflius used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 09:18AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:19AM] Vaflius used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:20AM] Vaflius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:21AM] Vaflius used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 09:23AM] Vaflius used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Vaflius used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:27AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 09:27AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:32AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:34AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:39AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:40AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 09:42AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:49AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 09:49AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:49AM] Vaflius used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:04AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:05AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:06AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Vaflius used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Vaflius used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:21AM] Vaflius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:23AM] Vaflius used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:23AM] Vaflius used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Vaflius used command :::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Vaflius used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Vaflius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Vaflius used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Vaflius used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Vaflius used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Vaflius used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Vaflius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:39AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Vaflius used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Vaflius used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Vaflius used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:48AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Vaflius used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:51AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:51AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:52AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Vaflius used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:57AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:57AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:57AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:06AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 11:08AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:10AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:21AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 08:21AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:26AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:32AM] Vaflius used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:34AM] Vaflius used command :::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 09:34AM] Vaflius used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 09:34AM] Vaflius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 09:35AM] Vaflius used command ::totem | Player rights = CLERIC_DONATOR	
