[4/15/23 03:55AM] Supernum69 used command ::ref | Player rights = PLAYER	
[4/15/23 03:56AM] Supernum69 used command ::ref | Player rights = PLAYER	
[4/15/23 03:56AM] Supernum69 used command ::ref | Player rights = PLAYER	
[4/15/23 04:13AM] Supernum69 used command ::ref | Player rights = PLAYER	
[4/15/23 04:16AM] Supernum69 used command ::ref | Player rights = PLAYER	
[4/15/23 04:18AM] Supernum69 used command ::ref | Player rights = PLAYER	
[4/15/23 01:54PM] Supernum69 used command ::Ref | Player rights = PLAYER	
[4/15/23 02:58PM] Supernum69 used command ::ref | Player rights = PLAYER	
[4/15/23 03:06PM] Supernum69 used command ::afk | Player rights = PLAYER	
[4/15/23 11:43PM] Supernum69 used command ::afk | Player rights = PLAYER	
[4/17/23 01:01AM] Supernum69 used command ::afk | Player rights = PLAYER	
[4/17/23 01:20AM] Supernum69 used command ::vote | Player rights = PLAYER	
[4/17/23 01:21AM] Supernum69 used command ::Reward 1 all | Player rights = PLAYER	
[4/17/23 01:33PM] Supernum69 used command ::afk | Player rights = PLAYER	
[4/17/23 08:47PM] Supernum69 used command ::Afk | Player rights = PLAYER	
[4/17/23 09:25PM] Supernum69 used command ::Afk | Player rights = PLAYER	
[4/18/23 12:10AM] Supernum69 used command ::afk | Player rights = PLAYER	
[4/18/23 12:12AM] Supernum69 used command ::Afk | Player rights = PLAYER	
[4/18/23 12:25AM] Supernum69 used command ::afk | Player rights = PLAYER	
[4/18/23 12:29AM] Supernum69 used command ::Afk | Player rights = PLAYER	
[4/18/23 12:48AM] Supernum69 used command ::afk | Player rights = PLAYER	
