[4/18/23 12:13PM] Bandit used command ::referal | Player rights = PLAYER	
[4/18/23 12:13PM] Bandit used command ::ref | Player rights = PLAYER	
[4/18/23 12:15PM] Bandit used command ::togglelevelup | Player rights = PLAYER	
[4/18/23 12:15PM] Bandit used command ::togglelevelups | Player rights = PLAYER	
[4/18/23 12:27PM] Bandit used command ::home | Player rights = PLAYER	
[4/18/23 12:27PM] Bandit used command ::bank | Player rights = PLAYER	
[4/18/23 12:29PM] Bandit used command ::home | Player rights = PLAYER	
[4/18/23 12:35PM] Bandit used command ::vote | Player rights = PLAYER	
[4/18/23 12:37PM] Bandit used command ::Reward 1 | Player rights = PLAYER	
[4/18/23 12:37PM] Bandit used command ::reward 1 2 | Player rights = PLAYER	
[4/18/23 12:50PM] Bandit used command ::home | Player rights = PLAYER	
[4/18/23 01:11PM] Bandit used command ::veigar | Player rights = PLAYER	
[4/18/23 01:28PM] Bandit used command ::Ref | Player rights = PLAYER	
[4/18/23 01:29PM] Bandit used command ::voteboss | Player rights = PLAYER	
[4/18/23 01:41PM] Bandit used command ::veigar | Player rights = PLAYER	
[4/18/23 01:41PM] Bandit used command ::ninetails | Player rights = PLAYER	
[4/18/23 01:42PM] Bandit used command ::golden | Player rights = PLAYER	
[4/18/23 02:05PM] Bandit used command ::progression | Player rights = PLAYER	
[4/18/23 02:05PM] Bandit used command ::progress | Player rights = PLAYER	
[4/18/23 02:05PM] Bandit used command ::progression | Player rights = PLAYER	
[4/18/23 02:05PM] Bandit used command ::prog | Player rights = PLAYER	
[4/18/23 02:11PM] Bandit used command ::veigar | Player rights = PLAYER	
[4/18/23 02:14PM] Bandit used command ::Shops | Player rights = PLAYER	
[4/18/23 02:14PM] Bandit used command ::home | Player rights = PLAYER	
[4/18/23 02:21PM] Bandit used command ::togglecollector | Player rights = PLAYER	
[4/18/23 02:24PM] Bandit used command ::home | Player rights = PLAYER	
[4/18/23 02:24PM] Bandit used command ::bank | Player rights = PLAYER	
[4/18/23 02:28PM] Bandit used command ::pos | Player rights = PLAYER	
[4/18/23 02:28PM] Bandit used command ::home | Player rights = PLAYER	
[4/18/23 02:38PM] Bandit used command ::veigar | Player rights = PLAYER	
[4/18/23 02:41PM] Bandit used command ::ninetails | Player rights = PLAYER	
[4/18/23 02:50PM] Bandit used command ::voteboss | Player rights = PLAYER	
[4/18/23 03:21PM] Bandit used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:21PM] Bandit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:22PM] Bandit used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:47PM] Bandit used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:48PM] Bandit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:48PM] Bandit used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:54PM] Bandit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:57PM] Bandit used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:59PM] Bandit used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:11PM] Bandit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:14PM] Bandit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:15PM] Bandit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:19PM] Bandit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:22PM] Bandit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:22PM] Bandit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:23PM] Bandit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:40PM] Bandit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:43PM] Bandit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:01PM] Bandit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:12PM] Bandit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:15PM] Bandit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:17PM] Bandit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:28PM] Bandit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:43PM] Bandit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:13PM] Bandit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:15PM] Bandit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Bandit used command ::renuem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:18PM] Bandit used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 03:22PM] Bandit used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 03:22PM] Bandit used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 03:22PM] Bandit used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 04:13PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:15PM] Bandit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 04:37PM] Bandit used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 04:43PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Bandit used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Bandit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Bandit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Bandit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:24PM] Bandit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Bandit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Bandit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Bandit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:34PM] Bandit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:18PM] Bandit used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 02:19PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:20PM] Bandit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:34PM] Bandit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 11:55AM] Bandit used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 11:57AM] Bandit used command ::redeem 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 11:57AM] Bandit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 12:02PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Bandit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:32PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34PM] Bandit used command ::ninetails | Player rights = CLERIC_DONATOR	
