[4/17/23 09:27PM] Mineftw1993 used command ::veigar | Player rights = PLAYER	
[4/17/23 09:29PM] Mineftw1993 used command ::train | Player rights = PLAYER	
[4/17/23 09:30PM] Mineftw1993 used command ::ref walkchaos | Player rights = PLAYER	
[4/17/23 09:39PM] Mineftw1993 used command ::train | Player rights = PLAYER	
[4/17/23 09:40PM] Mineftw1993 used command ::home | Player rights = PLAYER	
[4/17/23 09:43PM] Mineftw1993 used command ::train | Player rights = PLAYER	
[4/17/23 09:47PM] Mineftw1993 used command ::home | Player rights = PLAYER	
[4/17/23 09:53PM] Mineftw1993 used command ::home | Player rights = PLAYER	
[4/17/23 09:58PM] Mineftw1993 used command ::veigar | Player rights = PLAYER	
[4/17/23 09:59PM] Mineftw1993 used command ::home | Player rights = PLAYER	
[4/17/23 10:09PM] Mineftw1993 used command ::collection | Player rights = PLAYER	
[4/17/23 10:09PM] Mineftw1993 used command ::collection | Player rights = PLAYER	
[4/17/23 10:30PM] Mineftw1993 used command ::veigar | Player rights = PLAYER	
[4/17/23 10:33PM] Mineftw1993 used command ::veigar | Player rights = PLAYER	
[4/18/23 12:00PM] Mineftw1993 used command ::tasks | Player rights = PLAYER	
[4/18/23 12:01PM] Mineftw1993 used command ::vote | Player rights = PLAYER	
[4/18/23 12:05PM] Mineftw1993 used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 12:07PM] Mineftw1993 used command ::tasks | Player rights = PLAYER	
[4/18/23 12:09PM] Mineftw1993 used command ::collection | Player rights = PLAYER	
[4/18/23 12:11PM] Mineftw1993 used command ::veigar | Player rights = PLAYER	
[4/20/23 12:23PM] Mineftw1993 used command ::vote | Player rights = PLAYER	
[4/20/23 12:26PM] Mineftw1993 used command ::collection | Player rights = PLAYER	
[4/20/23 12:27PM] Mineftw1993 used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 12:49PM] Mineftw1993 used command ::veigar | Player rights = PLAYER	
[4/20/23 12:58PM] Mineftw1993 used command ::collection | Player rights = PLAYER	
[4/20/23 01:29PM] Mineftw1993 used command ::collection | Player rights = PLAYER	
[4/20/23 01:48PM] Mineftw1993 used command ::collection | Player rights = PLAYER	
[4/20/23 02:09PM] Mineftw1993 used command ::collection | Player rights = PLAYER	
[4/20/23 05:00PM] Mineftw1993 used command ::task | Player rights = PLAYER	
[4/20/23 07:04PM] Mineftw1993 used command ::home | Player rights = PLAYER	
[4/20/23 07:05PM] Mineftw1993 used command ::home | Player rights = PLAYER	
[4/20/23 07:26PM] Mineftw1993 used command ::slayer | Player rights = PLAYER	
[4/20/23 07:27PM] Mineftw1993 used command ::slayer | Player rights = PLAYER	
[4/20/23 07:29PM] Mineftw1993 used command ::slayer | Player rights = PLAYER	
[4/20/23 07:31PM] Mineftw1993 used command ::slayer | Player rights = PLAYER	
[4/20/23 07:34PM] Mineftw1993 used command ::slayer | Player rights = PLAYER	
[4/20/23 08:07PM] Mineftw1993 used command ::gear | Player rights = PLAYER	
