[4/15/23 09:56AM] Skills used command ::afk | Player rights = PLAYER	
[4/15/23 09:57AM] Skills used command ::shops | Player rights = PLAYER	
[4/15/23 09:58AM] Skills used command ::afk | Player rights = PLAYER	
[4/15/23 10:00AM] Skills used command ::shop[s | Player rights = PLAYER	
[4/15/23 10:00AM] Skills used command ::shops | Player rights = PLAYER	
[4/15/23 10:02AM] Skills used command ::ref | Player rights = PLAYER	
[4/15/23 01:46PM] Skills used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 02:00PM] Skills used command ::::afk | Player rights = PLAYER	
[4/15/23 02:00PM] Skills used command ::afk | Player rights = PLAYER	
[4/16/23 06:10AM] Skills used command ::afk | Player rights = PLAYER	
[4/16/23 06:33AM] Skills used command ::train | Player rights = PLAYER	
[4/16/23 06:36AM] Skills used command ::train | Player rights = PLAYER	
[4/16/23 06:41AM] Skills used command ::afk | Player rights = PLAYER	
[4/16/23 11:18AM] Skills used command ::afk | Player rights = PLAYER	
[4/16/23 12:53PM] Skills used command ::afk | Player rights = PLAYER	
[4/16/23 01:57PM] Skills used command ::afk | Player rights = PLAYER	
