[4/16/23 09:55PM] Sad used command ::refer ents | Player rights = PLAYER	
[4/16/23 10:09PM] Sad used command ::veigar | Player rights = PLAYER	
[4/16/23 10:25PM] Sad used command ::voted | Player rights = PLAYER	
[4/16/23 10:25PM] Sad used command ::claimvote | Player rights = PLAYER	
[4/16/23 10:35PM] Sad used command ::collections | Player rights = PLAYER	
[4/16/23 10:36PM] Sad used command ::collection | Player rights = PLAYER	
[4/16/23 10:37PM] Sad used command ::veigar | Player rights = PLAYER	
[4/16/23 10:42PM] Sad used command ::ninetails | Player rights = PLAYER	
[4/16/23 10:48PM] Sad used command ::collection | Player rights = PLAYER	
[4/16/23 11:07PM] Sad used command ::afk | Player rights = PLAYER	
[4/16/23 11:09PM] Sad used command ::veigar | Player rights = PLAYER	
[4/16/23 11:15PM] Sad used command ::afk | Player rights = PLAYER	
[4/17/23 06:09AM] Sad used command ::veigar | Player rights = PLAYER	
[4/17/23 06:43AM] Sad used command ::collection | Player rights = PLAYER	
[4/17/23 06:50AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:51AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:15AM] Sad used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:15AM] Sad used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:23AM] Sad used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:24AM] Sad used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:24AM] Sad used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:26AM] Sad used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:26AM] Sad used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:36AM] Sad used command ::curses | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:40AM] Sad used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:45AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:58AM] Sad used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:07AM] Sad used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:07AM] Sad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:07AM] Sad used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:10AM] Sad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:16AM] Sad used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:57AM] Sad used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:58AM] Sad used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:59AM] Sad used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:03AM] Sad used command ::yellowboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:03AM] Sad used command ::wboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:10AM] Sad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:12AM] Sad used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:14AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:33AM] Sad used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:39AM] Sad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:46AM] Sad used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:48AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:50AM] Sad used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:51AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:54AM] Sad used command ::yell everyone vote ::vote!  | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:57AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:01AM] Sad used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:02AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:06AM] Sad used command ::collectin | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:06AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:33AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:34AM] Sad used command ::veigar | Player rights = GRACEFUL_DONATOR	
