[4/17/23 02:58AM] Afk God used command ::afk | Player rights = PLAYER	
[4/17/23 03:00AM] Afk God used command ::Afk | Player rights = PLAYER	
[4/17/23 05:38AM] Afk God used command ::Veigar | Player rights = PLAYER	
[4/17/23 05:38AM] Afk God used command ::afk | Player rights = PLAYER	
[4/17/23 10:35AM] Afk God used command ::afk | Player rights = PLAYER	
[4/17/23 10:47AM] Afk God used command ::fpk | Player rights = PLAYER	
[4/17/23 12:25PM] Afk God used command ::afk | Player rights = PLAYER	
[4/17/23 02:43PM] Afk God used command ::afk | Player rights = PLAYER	
[4/18/23 03:14AM] Afk God used command ::afk | Player rights = PLAYER	
[4/18/23 02:41PM] Afk God used command ::veigar | Player rights = PLAYER	
[4/18/23 02:41PM] Afk God used command ::ninetails | Player rights = PLAYER	
[4/18/23 02:42PM] Afk God used command ::meruem | Player rights = PLAYER	
[4/18/23 02:42PM] Afk God used command ::Afk | Player rights = PLAYER	
[4/19/23 06:37AM] Afk God used command ::afk | Player rights = PLAYER	
[4/19/23 06:37AM] Afk God used command ::perks | Player rights = PLAYER	
[4/19/23 12:52PM] Afk God used command ::Afk | Player rights = PLAYER	
[4/19/23 10:41PM] Afk God used command ::Afk | Player rights = PLAYER	
[4/21/23 05:11AM] Afk God used command ::afk | Player rights = PLAYER	
[4/23/23 04:49AM] Afk God used command ::afk | Player rights = PLAYER	
[4/23/23 10:11AM] Afk God used command ::afk | Player rights = PLAYER	
