[4/22/23 03:00PM] Monitor Tan used command ::Ref | Player rights = PLAYER	
[4/22/23 03:01PM] Monitor Tan used command ::ref | Player rights = PLAYER	
[4/22/23 06:01PM] Monitor Tan used command ::bank | Player rights = PLAYER	
[4/22/23 06:18PM] Monitor Tan used command ::npckills | Player rights = PLAYER	
[4/23/23 02:52PM] Monitor Tan used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:56PM] Monitor Tan used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:56PM] Monitor Tan used command ::b | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:33PM] Monitor Tan used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:34PM] Monitor Tan used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:34PM] Monitor Tan used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:55PM] Monitor Tan used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:56PM] Monitor Tan used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:01PM] Monitor Tan used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:33PM] Monitor Tan used command ::nintails | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:33PM] Monitor Tan used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:33PM] Monitor Tan used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:34PM] Monitor Tan used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:27PM] Monitor Tan used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:32PM] Monitor Tan used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:12PM] Monitor Tan used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:12PM] Monitor Tan used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:14PM] Monitor Tan used command ::voreboss | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:14PM] Monitor Tan used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:15PM] Monitor Tan used command ::afk | Player rights = GRACEFUL_DONATOR	
