[4/19/23 12:43PM] Tera Wrist used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Tera Wrist used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:47PM] Tera Wrist used command ::refer | Player rights = PLAYER	
[4/19/23 12:47PM] Tera Wrist used command ::refer | Player rights = PLAYER	
[4/19/23 12:48PM] Tera Wrist used command ::wr3ckedyou | Player rights = PLAYER	
[4/19/23 12:48PM] Tera Wrist used command ::wr3cked | Player rights = PLAYER	
[4/19/23 12:50PM] Tera Wrist used command ::refer | Player rights = PLAYER	
[4/19/23 12:57PM] Tera Wrist used command ::bank | Player rights = PLAYER	
[4/19/23 12:57PM] Tera Wrist used command ::bank | Player rights = PLAYER	
[4/19/23 12:57PM] Tera Wrist used command ::teleport | Player rights = PLAYER	
[4/19/23 12:57PM] Tera Wrist used command ::tele | Player rights = PLAYER	
[4/19/23 12:57PM] Tera Wrist used command ::home | Player rights = PLAYER	
[4/19/23 01:01PM] Tera Wrist used command ::vote | Player rights = PLAYER	
[4/19/23 01:03PM] Tera Wrist used command ::CLAIMVOTE | Player rights = PLAYER	
[4/19/23 01:03PM] Tera Wrist used command ::claimvote | Player rights = PLAYER	
[4/19/23 01:03PM] Tera Wrist used command ::voted | Player rights = PLAYER	
[4/19/23 01:03PM] Tera Wrist used command ::claim | Player rights = PLAYER	
[4/19/23 01:03PM] Tera Wrist used command ::vote | Player rights = PLAYER	
[4/19/23 01:04PM] Tera Wrist used command ::claim | Player rights = PLAYER	
[4/19/23 01:04PM] Tera Wrist used command ::claimvote | Player rights = PLAYER	
[4/19/23 01:05PM] Tera Wrist used command ::voted | Player rights = PLAYER	
[4/19/23 01:05PM] Tera Wrist used command ::vote | Player rights = PLAYER	
[4/19/23 01:07PM] Tera Wrist used command ::vote | Player rights = PLAYER	
[4/19/23 01:07PM] Tera Wrist used command ::claimvote | Player rights = PLAYER	
[4/19/23 01:13PM] Tera Wrist used command ::veigar | Player rights = PLAYER	
[4/19/23 01:16PM] Tera Wrist used command ::claimvote | Player rights = PLAYER	
[4/19/23 01:20PM] Tera Wrist used command ::voteboss | Player rights = PLAYER	
[4/19/23 01:55PM] Tera Wrist used command ::home | Player rights = PLAYER	
[4/19/23 01:58PM] Tera Wrist used command ::pos | Player rights = PLAYER	
[4/19/23 01:58PM] Tera Wrist used command ::pos | Player rights = PLAYER	
[4/19/23 01:59PM] Tera Wrist used command ::train | Player rights = PLAYER	
[4/19/23 01:59PM] Tera Wrist used command ::home | Player rights = PLAYER	
[4/19/23 02:00PM] Tera Wrist used command ::claimvote | Player rights = PLAYER	
[4/19/23 02:07PM] Tera Wrist used command ::home | Player rights = PLAYER	
[4/19/23 02:13PM] Tera Wrist used command ::vegiar | Player rights = PLAYER	
[4/19/23 02:14PM] Tera Wrist used command ::veigar | Player rights = PLAYER	
[4/19/23 02:43PM] Tera Wrist used command ::event | Player rights = PLAYER	
[4/19/23 02:43PM] Tera Wrist used command ::wevent | Player rights = PLAYER	
[4/19/23 02:43PM] Tera Wrist used command ::event | Player rights = PLAYER	
[4/19/23 02:43PM] Tera Wrist used command ::wevent | Player rights = PLAYER	
[4/19/23 02:44PM] Tera Wrist used command ::veigar | Player rights = PLAYER	
[4/19/23 02:44PM] Tera Wrist used command ::noble | Player rights = PLAYER	
[4/19/23 02:56PM] Tera Wrist used command :: go to ::noble!!!! banging giveway!!!! | Player rights = PLAYER	
[4/19/23 03:02PM] Tera Wrist used command ::home | Player rights = PLAYER	
[4/19/23 03:08PM] Tera Wrist used command ::bank | Player rights = PLAYER	
[4/19/23 03:08PM] Tera Wrist used command ::home | Player rights = PLAYER	
[4/19/23 03:12PM] Tera Wrist used command ::veigar | Player rights = PLAYER	
[4/19/23 03:13PM] Tera Wrist used command ::claimvote | Player rights = PLAYER	
[4/19/23 03:15PM] Tera Wrist used command ::ninetails | Player rights = PLAYER	
[4/19/23 03:16PM] Tera Wrist used command ::merium | Player rights = PLAYER	
[4/19/23 03:16PM] Tera Wrist used command ::meruem | Player rights = PLAYER	
[4/19/23 03:17PM] Tera Wrist used command ::golden | Player rights = PLAYER	
[4/19/23 03:18PM] Tera Wrist used command ::home | Player rights = PLAYER	
[4/19/23 03:27PM] Tera Wrist used command ::home | Player rights = PLAYER	
[4/19/23 03:35PM] Tera Wrist used command ::HOME | Player rights = PLAYER	
[4/19/23 03:40PM] Tera Wrist used command ::home | Player rights = PLAYER	
[4/19/23 03:42PM] Tera Wrist used command ::veiger | Player rights = PLAYER	
[4/19/23 03:42PM] Tera Wrist used command ::veigar | Player rights = PLAYER	
[4/19/23 03:45PM] Tera Wrist used command ::home | Player rights = PLAYER	
[4/19/23 04:00PM] Tera Wrist used command ::home | Player rights = PLAYER	
[4/19/23 04:12PM] Tera Wrist used command ::veiger | Player rights = PLAYER	
[4/19/23 04:12PM] Tera Wrist used command ::vaiger | Player rights = PLAYER	
[4/19/23 04:12PM] Tera Wrist used command ::veigar | Player rights = PLAYER	
[4/19/23 04:15PM] Tera Wrist used command ::ninetails | Player rights = PLAYER	
[4/19/23 04:16PM] Tera Wrist used command ::home | Player rights = PLAYER	
[4/19/23 04:18PM] Tera Wrist used command ::vote | Player rights = PLAYER	
[4/19/23 04:36PM] Tera Wrist used command ::home | Player rights = PLAYER	
[4/19/23 04:38PM] Tera Wrist used command ::pos | Player rights = PLAYER	
