[4/16/23 07:28AM] Trenbolon used command ::home | Player rights = PLAYER	
[4/16/23 07:47AM] Trenbolon used command ::sfk | Player rights = PLAYER	
[4/16/23 07:47AM] Trenbolon used command ::Afk | Player rights = PLAYER	
[4/16/23 06:14PM] Trenbolon used command ::afk | Player rights = PLAYER	
[4/16/23 08:26PM] Trenbolon used command ::home | Player rights = PLAYER	
[4/16/23 08:26PM] Trenbolon used command ::home | Player rights = PLAYER	
[4/16/23 08:27PM] Trenbolon used command ::train | Player rights = PLAYER	
[4/16/23 08:30PM] Trenbolon used command ::home | Player rights = PLAYER	
[4/16/23 08:30PM] Trenbolon used command ::train | Player rights = PLAYER	
[4/16/23 08:48PM] Trenbolon used command ::home | Player rights = PLAYER	
[4/16/23 08:48PM] Trenbolon used command ::train | Player rights = PLAYER	
[4/16/23 08:57PM] Trenbolon used command ::vboss | Player rights = PLAYER	
[4/16/23 08:58PM] Trenbolon used command ::home | Player rights = PLAYER	
