[4/15/23 02:33AM] Nervus used command ::train | Player rights = PLAYER	
[4/15/23 02:34AM] Nervus used command ::collector | Player rights = PLAYER	
[4/15/23 02:34AM] Nervus used command ::freedonator | Player rights = PLAYER	
[4/15/23 02:35AM] Nervus used command ::ref | Player rights = PLAYER	
[4/15/23 02:37AM] Nervus used command ::toggle | Player rights = PLAYER	
[4/15/23 02:41AM] Nervus used command ::freed | Player rights = PLAYER	
[4/15/23 02:41AM] Nervus used command ::free | Player rights = PLAYER	
[4/15/23 02:41AM] Nervus used command ::freedonator | Player rights = PLAYER	
[4/15/23 02:41AM] Nervus used command ::box | Player rights = PLAYER	
[4/15/23 02:46AM] Nervus used command ::home | Player rights = PLAYER	
[4/15/23 02:47AM] Nervus used command ::train | Player rights = PLAYER	
[4/15/23 02:50AM] Nervus used command ::train | Player rights = PLAYER	
[4/15/23 02:51AM] Nervus used command ::zinq | Player rights = PLAYER	
[4/15/23 02:52AM] Nervus used command ::home | Player rights = PLAYER	
[4/15/23 02:52AM] Nervus used command ::pos | Player rights = PLAYER	
[4/15/23 02:53AM] Nervus used command ::vboss | Player rights = PLAYER	
[4/15/23 03:16AM] Nervus used command ::train | Player rights = PLAYER	
[4/15/23 03:16AM] Nervus used command ::home | Player rights = PLAYER	
[4/15/23 03:18AM] Nervus used command ::store | Player rights = PLAYER	
[4/15/23 03:23AM] Nervus used command ::train | Player rights = PLAYER	
[4/15/23 03:25AM] Nervus used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 03:28AM] Nervus used command ::train | Player rights = PLAYER	
[4/15/23 03:29AM] Nervus used command ::totem | Player rights = PLAYER	
[4/15/23 03:31AM] Nervus used command ::altar | Player rights = PLAYER	
[4/15/23 03:31AM] Nervus used command ::home | Player rights = PLAYER	
[4/15/23 04:12AM] Nervus used command ::kc | Player rights = PLAYER	
[4/15/23 04:12AM] Nervus used command ::killcount | Player rights = PLAYER	
[4/15/23 04:20AM] Nervus used command ::home | Player rights = PLAYER	
[4/15/23 04:27AM] Nervus used command ::wb | Player rights = PLAYER	
[4/15/23 04:27AM] Nervus used command ::totem | Player rights = PLAYER	
[4/15/23 04:41AM] Nervus used command ::mereum | Player rights = PLAYER	
[4/15/23 04:41AM] Nervus used command ::mereum | Player rights = PLAYER	
[4/15/23 05:00AM] Nervus used command ::voteboss | Player rights = PLAYER	
[4/15/23 05:02AM] Nervus used command ::veigar | Player rights = PLAYER	
[4/15/23 05:03AM] Nervus used command ::voteboss | Player rights = PLAYER	
