[4/16/23 11:35PM] Loopus used command ::Afk | Player rights = PLAYER	
[4/16/23 11:35PM] Loopus used command ::Shops | Player rights = PLAYER	
[4/16/23 11:36PM] Loopus used command ::ref | Player rights = PLAYER	
[4/16/23 11:36PM] Loopus used command ::afk | Player rights = PLAYER	
[4/16/23 11:39PM] Loopus used command ::reward 1 2 | Player rights = PLAYER	
[4/16/23 11:40PM] Loopus used command ::Reward 1 | Player rights = PLAYER	
[4/16/23 11:41PM] Loopus used command ::reward 1 | Player rights = PLAYER	
[4/16/23 11:42PM] Loopus used command ::ref | Player rights = PLAYER	
[4/16/23 11:42PM] Loopus used command ::Afk | Player rights = PLAYER	
[4/16/23 11:59PM] Loopus used command ::Afk | Player rights = PLAYER	
[4/17/23 12:22AM] Loopus used command ::Afk | Player rights = PLAYER	
[4/17/23 12:26AM] Loopus used command ::Afk | Player rights = PLAYER	
[4/17/23 11:03AM] Loopus used command ::afk | Player rights = PLAYER	
[4/17/23 11:29AM] Loopus used command ::Afk | Player rights = PLAYER	
[4/17/23 11:32AM] Loopus used command ::afk | Player rights = PLAYER	
[4/17/23 11:41AM] Loopus used command ::afk | Player rights = PLAYER	
[4/17/23 12:17PM] Loopus used command ::vboss | Player rights = PLAYER	
[4/17/23 12:18PM] Loopus used command ::Afk | Player rights = PLAYER	
