[4/15/23 04:15AM] Netflix used command ::vote | Player rights = PLAYER	
[4/15/23 04:17AM] Netflix used command ::reward 1 | Player rights = PLAYER	
[4/15/23 04:17AM] Netflix used command ::ref | Player rights = PLAYER	
[4/15/23 04:19AM] Netflix used command ::bank | Player rights = PLAYER	
[4/15/23 04:25AM] Netflix used command ::home | Player rights = PLAYER	
[4/15/23 04:27AM] Netflix used command ::totem | Player rights = PLAYER	
[4/15/23 04:29AM] Netflix used command ::home | Player rights = PLAYER	
[4/15/23 04:35AM] Netflix used command ::bank | Player rights = PLAYER	
[4/16/23 01:28PM] Netflix used command ::vote | Player rights = PLAYER	
[4/16/23 01:29PM] Netflix used command ::reward 1 | Player rights = PLAYER	
[4/16/23 01:29PM] Netflix used command ::bank | Player rights = PLAYER	
[4/16/23 01:29PM] Netflix used command ::home | Player rights = PLAYER	
[4/16/23 01:29PM] Netflix used command ::bank | Player rights = PLAYER	
[4/16/23 01:31PM] Netflix used command ::home | Player rights = PLAYER	
[4/16/23 01:36PM] Netflix used command ::home | Player rights = PLAYER	
[4/16/23 01:55PM] Netflix used command ::veigar | Player rights = PLAYER	
[4/16/23 01:55PM] Netflix used command ::pos | Player rights = PLAYER	
[4/16/23 01:55PM] Netflix used command ::market | Player rights = PLAYER	
[4/16/23 01:55PM] Netflix used command ::home | Player rights = PLAYER	
[4/16/23 03:02PM] Netflix used command ::home | Player rights = PLAYER	
[4/16/23 04:18PM] Netflix used command ::boost | Player rights = PLAYER	
[4/16/23 04:18PM] Netflix used command ::home | Player rights = PLAYER	
[4/16/23 04:23PM] Netflix used command ::veigar | Player rights = PLAYER	
[4/16/23 04:24PM] Netflix used command ::ninetails | Player rights = PLAYER	
[4/16/23 04:47PM] Netflix used command ::bufftotem | Player rights = PLAYER	
[4/16/23 04:47PM] Netflix used command ::totem | Player rights = PLAYER	
[4/16/23 04:53PM] Netflix used command ::veigar | Player rights = PLAYER	
[4/16/23 05:01PM] Netflix used command ::voteboss | Player rights = PLAYER	
[4/16/23 05:01PM] Netflix used command ::vote | Player rights = PLAYER	
[4/16/23 05:01PM] Netflix used command ::reward 1 | Player rights = PLAYER	
[4/16/23 05:01PM] Netflix used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 05:03PM] Netflix used command ::home | Player rights = PLAYER	
[4/16/23 05:06PM] Netflix used command ::voteboss | Player rights = PLAYER	
[4/16/23 05:06PM] Netflix used command ::home | Player rights = PLAYER	
[4/16/23 05:10PM] Netflix used command ::pos | Player rights = PLAYER	
[4/16/23 05:14PM] Netflix used command ::pos | Player rights = PLAYER	
[4/16/23 05:17PM] Netflix used command ::home | Player rights = PLAYER	
[4/16/23 05:23PM] Netflix used command ::veigar | Player rights = PLAYER	
[4/16/23 05:23PM] Netflix used command ::ninetails | Player rights = PLAYER	
[4/16/23 05:24PM] Netflix used command ::meruem | Player rights = PLAYER	
[4/16/23 05:25PM] Netflix used command ::golden | Player rights = PLAYER	
[4/16/23 05:26PM] Netflix used command ::home | Player rights = PLAYER	
[4/17/23 03:17AM] Netflix used command ::vote | Player rights = PLAYER	
[4/17/23 03:20AM] Netflix used command ::home | Player rights = PLAYER	
[4/17/23 03:24AM] Netflix used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:24AM] Netflix used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:24AM] Netflix used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:24AM] Netflix used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:24AM] Netflix used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:25AM] Netflix used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:38AM] Netflix used command ::veigar | Player rights = PLAYER	
[4/17/23 03:41AM] Netflix used command ::ninetails | Player rights = PLAYER	
[4/17/23 03:41AM] Netflix used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 03:42AM] Netflix used command ::meruem | Player rights = PLAYER	
[4/17/23 03:43AM] Netflix used command ::golden | Player rights = PLAYER	
[4/17/23 03:45AM] Netflix used command ::home | Player rights = PLAYER	
[4/17/23 03:53AM] Netflix used command ::upgrade | Player rights = PLAYER	
[4/17/23 04:03AM] Netflix used command ::home | Player rights = PLAYER	
[4/17/23 04:03AM] Netflix used command ::bufftotem | Player rights = PLAYER	
[4/17/23 04:04AM] Netflix used command ::totem | Player rights = PLAYER	
[4/17/23 04:09AM] Netflix used command ::veigar | Player rights = PLAYER	
[4/17/23 04:13AM] Netflix used command ::ref | Player rights = PLAYER	
[4/17/23 04:23AM] Netflix used command ::home | Player rights = PLAYER	
[4/17/23 04:36AM] Netflix used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:39AM] Netflix used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:40AM] Netflix used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:09AM] Netflix used command ::::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:09AM] Netflix used command ::veigar | Player rights = GRACEFUL_DONATOR	
