[4/15/23 03:12PM] 2jz used command ::train | Player rights = PLAYER	
[4/15/23 03:17PM] 2jz used command ::refer walkchaos | Player rights = PLAYER	
[4/15/23 03:26PM] 2jz used command ::voteboss | Player rights = PLAYER	
[4/15/23 03:28PM] 2jz used command ::veiger | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:29PM] 2jz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:32PM] 2jz used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:36PM] 2jz used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:43PM] 2jz used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:58PM] 2jz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:59PM] 2jz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:05PM] 2jz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:29PM] 2jz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:35PM] 2jz used command ::golden | Player rights = GRACEFUL_DONATOR	
