[4/17/23 05:39PM] Peez used command ::home | Player rights = PLAYER	
[4/17/23 05:40PM] Peez used command ::train | Player rights = PLAYER	
[4/17/23 05:41PM] Peez used command ::train | Player rights = PLAYER	
[4/17/23 05:45PM] Peez used command ::train | Player rights = PLAYER	
[4/17/23 05:50PM] Peez used command ::home | Player rights = PLAYER	
[4/17/23 05:51PM] Peez used command ::train | Player rights = PLAYER	
[4/17/23 05:52PM] Peez used command ::home | Player rights = PLAYER	
[4/17/23 05:52PM] Peez used command ::train | Player rights = PLAYER	
[4/17/23 06:01PM] Peez used command ::totem | Player rights = PLAYER	
[4/17/23 06:01PM] Peez used command ::train | Player rights = PLAYER	
[4/17/23 06:03PM] Peez used command ::train | Player rights = PLAYER	
[4/17/23 06:04PM] Peez used command ::ref | Player rights = PLAYER	
[4/17/23 06:04PM] Peez used command ::home | Player rights = PLAYER	
[4/17/23 06:05PM] Peez used command ::train | Player rights = PLAYER	
[4/17/23 06:10PM] Peez used command ::home | Player rights = PLAYER	
[4/17/23 06:14PM] Peez used command ::train | Player rights = PLAYER	
[4/17/23 06:15PM] Peez used command ::commands | Player rights = PLAYER	
[4/17/23 06:15PM] Peez used command ::shops | Player rights = PLAYER	
[4/17/23 06:15PM] Peez used command ::home | Player rights = PLAYER	
[4/17/23 06:16PM] Peez used command ::home | Player rights = PLAYER	
[4/17/23 06:16PM] Peez used command ::pos | Player rights = PLAYER	
[4/17/23 06:16PM] Peez used command ::home | Player rights = PLAYER	
[4/17/23 06:17PM] Peez used command ::pos | Player rights = PLAYER	
[4/17/23 06:17PM] Peez used command ::train | Player rights = PLAYER	
[4/17/23 06:23PM] Peez used command ::home | Player rights = PLAYER	
[4/17/23 06:25PM] Peez used command ::train | Player rights = PLAYER	
[4/17/23 07:12PM] Peez used command ::home | Player rights = PLAYER	
[4/17/23 07:15PM] Peez used command ::free | Player rights = PLAYER	
[4/17/23 07:15PM] Peez used command ::home | Player rights = PLAYER	
[4/17/23 07:16PM] Peez used command ::pos | Player rights = PLAYER	
[4/20/23 02:43PM] Peez used command ::ref | Player rights = PLAYER	
[4/21/23 12:41AM] Peez used command ::train | Player rights = PLAYER	
[4/21/23 12:42AM] Peez used command ::home | Player rights = PLAYER	
[4/21/23 01:30AM] Peez used command ::home | Player rights = PLAYER	
[4/21/23 01:55AM] Peez used command ::collection | Player rights = PLAYER	
[4/21/23 01:59AM] Peez used command ::ref fpk merk | Player rights = PLAYER	
[4/21/23 02:21AM] Peez used command ::vote | Player rights = PLAYER	
[4/21/23 02:22AM] Peez used command ::claimvote | Player rights = PLAYER	
[4/21/23 02:22AM] Peez used command ::claimvote | Player rights = PLAYER	
[4/21/23 02:22AM] Peez used command ::reward1 | Player rights = PLAYER	
[4/21/23 02:22AM] Peez used command ::reward 1 | Player rights = PLAYER	
[4/21/23 02:23AM] Peez used command ::reward 1 | Player rights = PLAYER	
[4/21/23 02:23AM] Peez used command ::reward 1 | Player rights = PLAYER	
[4/21/23 02:23AM] Peez used command ::reward 1 | Player rights = PLAYER	
[4/21/23 02:28AM] Peez used command ::voteboss | Player rights = PLAYER	
[4/21/23 02:29AM] Peez used command ::shops | Player rights = PLAYER	
[4/21/23 02:30AM] Peez used command ::shops | Player rights = PLAYER	
[4/21/23 02:32AM] Peez used command ::veigar | Player rights = PLAYER	
[4/21/23 02:34AM] Peez used command ::meruem | Player rights = PLAYER	
[4/21/23 02:35AM] Peez used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:37AM] Peez used command ::::meruem | Player rights = PLAYER	
[4/21/23 02:37AM] Peez used command ::meruem | Player rights = PLAYER	
[4/21/23 02:39AM] Peez used command ::golden | Player rights = PLAYER	
[4/21/23 02:43AM] Peez used command ::perk | Player rights = PLAYER	
[4/21/23 02:44AM] Peez used command ::perks | Player rights = PLAYER	
[4/21/23 02:52AM] Peez used command ::benefits | Player rights = PLAYER	
[4/21/23 02:56AM] Peez used command ::commands | Player rights = PLAYER	
[4/21/23 02:56AM] Peez used command ::tasks | Player rights = PLAYER	
[4/21/23 03:02AM] Peez used command ::veigar | Player rights = PLAYER	
[4/21/23 03:05AM] Peez used command ::home | Player rights = PLAYER	
[4/21/23 03:24AM] Peez used command ::noble | Player rights = PLAYER	
[4/21/23 03:32AM] Peez used command ::veigar | Player rights = PLAYER	
[4/21/23 03:35AM] Peez used command ::ninetails | Player rights = PLAYER	
