[4/22/23 10:08PM] Exholy used command ::reffer | Player rights = PLAYER	
[4/22/23 10:09PM] Exholy used command ::refer | Player rights = PLAYER	
[4/22/23 10:10PM] Exholy used command ::vote | Player rights = PLAYER	
[4/22/23 10:11PM] Exholy used command ::claimvotes | Player rights = PLAYER	
[4/22/23 10:11PM] Exholy used command ::claimvote | Player rights = PLAYER	
[4/22/23 10:12PM] Exholy used command ::vote | Player rights = PLAYER	
[4/22/23 10:12PM] Exholy used command ::claimvote | Player rights = PLAYER	
[4/22/23 10:12PM] Exholy used command ::reward | Player rights = PLAYER	
[4/22/23 10:12PM] Exholy used command ::reward 1 3 | Player rights = PLAYER	
[4/22/23 10:12PM] Exholy used command ::train | Player rights = PLAYER	
[4/22/23 10:12PM] Exholy used command ::home | Player rights = PLAYER	
[4/22/23 10:18PM] Exholy used command ::train | Player rights = PLAYER	
[4/22/23 10:35PM] Exholy used command ::train | Player rights = PLAYER	
[4/22/23 10:51PM] Exholy used command ::donate | Player rights = PLAYER	
[4/22/23 11:03PM] Exholy used command ::Veigar | Player rights = PLAYER	
[4/22/23 11:03PM] Exholy used command ::claim | Player rights = PLAYER	
[4/22/23 11:08PM] Exholy used command ::vboss | Player rights = PLAYER	
[4/22/23 11:09PM] Exholy used command ::vboss | Player rights = PLAYER	
[4/22/23 11:32PM] Exholy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 11:33PM] Exholy used command ::ninetail | Player rights = TORMENTED_DONATOR	
[4/22/23 11:33PM] Exholy used command ::tail | Player rights = TORMENTED_DONATOR	
[4/22/23 11:34PM] Exholy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 11:35PM] Exholy used command ::merims | Player rights = TORMENTED_DONATOR	
[4/22/23 11:35PM] Exholy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 11:36PM] Exholy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 12:02AM] Exholy used command ::veigar | Player rights = TORMENTED_DONATOR	
