[4/18/23 01:38PM] Jokerjambo used command ::train | Player rights = PLAYER	
[4/18/23 01:42PM] Jokerjambo used command ::veigar | Player rights = PLAYER	
[4/18/23 01:42PM] Jokerjambo used command ::ninetails | Player rights = PLAYER	
[4/18/23 01:42PM] Jokerjambo used command ::golden | Player rights = PLAYER	
[4/18/23 01:43PM] Jokerjambo used command ::train | Player rights = PLAYER	
[4/18/23 01:48PM] Jokerjambo used command ::train | Player rights = PLAYER	
[4/18/23 01:59PM] Jokerjambo used command ::vote | Player rights = PLAYER	
[4/18/23 02:02PM] Jokerjambo used command ::reward 1 | Player rights = PLAYER	
[4/18/23 02:02PM] Jokerjambo used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 02:10PM] Jokerjambo used command ::tasks | Player rights = PLAYER	
[4/18/23 02:11PM] Jokerjambo used command ::veigar | Player rights = PLAYER	
[4/18/23 02:13PM] Jokerjambo used command ::train | Player rights = PLAYER	
[4/18/23 02:13PM] Jokerjambo used command ::train | Player rights = PLAYER	
[4/18/23 02:18PM] Jokerjambo used command ::refer | Player rights = PLAYER	
[4/18/23 02:18PM] Jokerjambo used command ::ref | Player rights = PLAYER	
[4/18/23 02:19PM] Jokerjambo used command ::ref | Player rights = PLAYER	
[4/18/23 02:19PM] Jokerjambo used command ::ref fpk merk | Player rights = PLAYER	
[4/18/23 02:21PM] Jokerjambo used command ::tsdk | Player rights = PLAYER	
[4/18/23 02:21PM] Jokerjambo used command ::task | Player rights = PLAYER	
[4/18/23 02:21PM] Jokerjambo used command ::tasks | Player rights = PLAYER	
[4/18/23 02:41PM] Jokerjambo used command ::vrigar | Player rights = PLAYER	
[4/18/23 02:41PM] Jokerjambo used command ::veigar | Player rights = PLAYER	
[4/18/23 02:49PM] Jokerjambo used command ::home | Player rights = PLAYER	
[4/18/23 02:50PM] Jokerjambo used command ::voteboss | Player rights = PLAYER	
[4/18/23 02:51PM] Jokerjambo used command ::home | Player rights = PLAYER	
[4/18/23 02:51PM] Jokerjambo used command ::home | Player rights = PLAYER	
[4/18/23 03:12PM] Jokerjambo used command ::veigar | Player rights = PLAYER	
[4/18/23 03:22PM] Jokerjambo used command ::home | Player rights = PLAYER	
[4/18/23 03:41PM] Jokerjambo used command ::veigar | Player rights = PLAYER	
[4/18/23 03:41PM] Jokerjambo used command ::ninetails | Player rights = PLAYER	
[4/18/23 03:42PM] Jokerjambo used command ::veigar | Player rights = PLAYER	
[4/18/23 03:42PM] Jokerjambo used command ::home | Player rights = PLAYER	
[4/18/23 04:11PM] Jokerjambo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:11PM] Jokerjambo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Jokerjambo used command ::worldboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Jokerjambo used command ::globalboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Jokerjambo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:16PM] Jokerjambo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:39PM] Jokerjambo used command ::globalboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42PM] Jokerjambo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:55PM] Jokerjambo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:02PM] Jokerjambo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:02PM] Jokerjambo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:29PM] Jokerjambo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:30PM] Jokerjambo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:32PM] Jokerjambo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:36PM] Jokerjambo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:41PM] Jokerjambo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:00PM] Jokerjambo used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 06:01PM] Jokerjambo used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 06:01PM] Jokerjambo used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 10:44PM] Jokerjambo used command ::nin | Player rights = CLERIC_DONATOR	
[4/18/23 10:44PM] Jokerjambo used command ::ninetaile | Player rights = CLERIC_DONATOR	
[4/18/23 10:46PM] Jokerjambo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 11:08PM] Jokerjambo used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Jokerjambo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Jokerjambo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Jokerjambo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:17PM] Jokerjambo used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 01:18PM] Jokerjambo used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/19/23 01:19PM] Jokerjambo used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 01:19PM] Jokerjambo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:22PM] Jokerjambo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:23PM] Jokerjambo used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:25PM] Jokerjambo used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:56PM] Jokerjambo used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 01:58PM] Jokerjambo used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:58PM] Jokerjambo used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:53PM] Jokerjambo used command :::Voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:53PM] Jokerjambo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:57PM] Jokerjambo used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 12:19AM] Jokerjambo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20AM] Jokerjambo used command ::ref | Player rights = CLERIC_DONATOR	
[4/20/23 12:21AM] Jokerjambo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:23AM] Jokerjambo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 12:23AM] Jokerjambo used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:26AM] Jokerjambo used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 12:26AM] Jokerjambo used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 12:26AM] Jokerjambo used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 12:27AM] Jokerjambo used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:49AM] Jokerjambo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:51AM] Jokerjambo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:51AM] Jokerjambo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 12:51AM] Jokerjambo used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 01:20AM] Jokerjambo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:21AM] Jokerjambo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:22AM] Jokerjambo used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 01:23AM] Jokerjambo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:25AM] Jokerjambo used command ::golden::golden | Player rights = CLERIC_DONATOR	
[4/20/23 01:25AM] Jokerjambo used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 02:00AM] Jokerjambo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:24AM] Jokerjambo used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 02:25AM] Jokerjambo used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 05:38AM] Jokerjambo used command ::wr3ked | Player rights = CLERIC_DONATOR	
[4/20/23 05:38AM] Jokerjambo used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 09:58PM] Jokerjambo used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 03:27PM] Jokerjambo used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 03:32PM] Jokerjambo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:34PM] Jokerjambo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 03:35PM] Jokerjambo used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 02:59AM] Jokerjambo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 04:49AM] Jokerjambo used command ::afk | Player rights = CLERIC_DONATOR	
[4/26/23 02:02PM] Jokerjambo used command ::afk | Player rights = CLERIC_DONATOR	
