[4/20/23 04:54PM] Wowzers used command ::afk | Player rights = PLAYER	
[4/20/23 04:54PM] Wowzers used command ::afk | Player rights = PLAYER	
[4/20/23 09:12PM] Wowzers used command ::afk | Player rights = PLAYER	
[4/20/23 11:30PM] Wowzers used command ::claim 1 all | Player rights = PLAYER	
[4/20/23 11:30PM] Wowzers used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 11:30PM] Wowzers used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 09:26AM] Wowzers used command ::home | Player rights = PLAYER	
[4/21/23 09:29AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/21/23 09:33AM] Wowzers used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 04:54PM] Wowzers used command ::afk | Player rights = PLAYER	
[4/21/23 06:57PM] Wowzers used command ::starter | Player rights = PLAYER	
[4/21/23 07:55PM] Wowzers used command ::home | Player rights = PLAYER	
[4/21/23 07:58PM] Wowzers used command ::afk | Player rights = PLAYER	
[4/22/23 12:32AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/22/23 06:26AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/22/23 07:53PM] Wowzers used command ::afk | Player rights = PLAYER	
[4/22/23 09:11PM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 12:57AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 02:08AM] Wowzers used command ::reward 1 all | Player rights = PLAYER	
[4/23/23 02:21AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 02:23AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 02:32AM] Wowzers used command ::veigar | Player rights = PLAYER	
[4/23/23 02:33AM] Wowzers used command ::ninetails | Player rights = PLAYER	
[4/23/23 02:34AM] Wowzers used command ::meruem | Player rights = PLAYER	
[4/23/23 02:35AM] Wowzers used command ::golden | Player rights = PLAYER	
[4/23/23 03:13AM] Wowzers used command ::ak | Player rights = PLAYER	
[4/23/23 03:13AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 03:13AM] Wowzers used command ::ninetails | Player rights = PLAYER	
[4/23/23 03:14AM] Wowzers used command ::meruem | Player rights = PLAYER	
[4/23/23 03:14AM] Wowzers used command ::meruem | Player rights = PLAYER	
[4/23/23 03:14AM] Wowzers used command ::meruem | Player rights = PLAYER	
[4/23/23 03:14AM] Wowzers used command ::home | Player rights = PLAYER	
[4/23/23 03:15AM] Wowzers used command ::golden | Player rights = PLAYER	
[4/23/23 03:31AM] Wowzers used command ::veigar | Player rights = PLAYER	
[4/23/23 03:31AM] Wowzers used command ::ninetails | Player rights = PLAYER	
[4/23/23 03:32AM] Wowzers used command ::ninetails | Player rights = PLAYER	
[4/23/23 03:32AM] Wowzers used command ::meruem | Player rights = PLAYER	
[4/23/23 03:33AM] Wowzers used command ::meruem | Player rights = PLAYER	
[4/23/23 03:33AM] Wowzers used command ::meruem | Player rights = PLAYER	
[4/23/23 03:33AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 03:40AM] Wowzers used command ::vboss | Player rights = PLAYER	
[4/23/23 03:42AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 03:43AM] Wowzers used command ::home | Player rights = PLAYER	
[4/23/23 03:45AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 04:08AM] Wowzers used command ::pos | Player rights = PLAYER	
[4/23/23 04:10AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 08:17AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 08:19AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 08:21AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 09:38AM] Wowzers used command ::veigar | Player rights = PLAYER	
[4/23/23 09:38AM] Wowzers used command ::golden | Player rights = PLAYER	
[4/23/23 09:38AM] Wowzers used command ::vboss | Player rights = PLAYER	
[4/23/23 09:54AM] Wowzers used command ::veigar | Player rights = PLAYER	
[4/23/23 09:55AM] Wowzers used command ::ninetails | Player rights = PLAYER	
[4/23/23 09:55AM] Wowzers used command ::meruem | Player rights = PLAYER	
[4/23/23 09:55AM] Wowzers used command ::meruem | Player rights = PLAYER	
[4/23/23 09:55AM] Wowzers used command ::golden | Player rights = PLAYER	
[4/23/23 09:58AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 10:53AM] Wowzers used command ::vboss | Player rights = PLAYER	
[4/23/23 10:55AM] Wowzers used command ::veigar | Player rights = PLAYER	
[4/23/23 10:55AM] Wowzers used command ::ninetails | Player rights = PLAYER	
[4/23/23 10:55AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 10:59AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 11:02AM] Wowzers used command ::afk | Player rights = PLAYER	
[4/23/23 11:44AM] Wowzers used command ::vboss | Player rights = PLAYER	
[4/23/23 11:47AM] Wowzers used command ::Afk | Player rights = PLAYER	
[4/23/23 11:54AM] Wowzers used command ::veigar | Player rights = PLAYER	
[4/23/23 11:56AM] Wowzers used command ::afk | Player rights = PLAYER	
