[4/15/23 09:42AM] Cameron used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 09:56AM] Cameron used command ::maxhit | Player rights = PLAYER	
[4/15/23 09:56AM] Cameron used command ::maxhit | Player rights = PLAYER	
[4/15/23 09:56AM] Cameron used command ::maxhit | Player rights = PLAYER	
[4/15/23 09:59AM] Cameron used command ::veigar | Player rights = PLAYER	
[4/15/23 10:02AM] Cameron used command ::starter | Player rights = PLAYER	
[4/15/23 10:09AM] Cameron used command ::maxhit | Player rights = PLAYER	
[4/15/23 10:09AM] Cameron used command ::maxhit | Player rights = PLAYER	
[4/15/23 10:35AM] Cameron used command ::starter | Player rights = PLAYER	
[4/15/23 10:38AM] Cameron used command ::starter | Player rights = PLAYER	
[4/15/23 10:58AM] Cameron used command ::veigar | Player rights = PLAYER	
[4/15/23 11:01AM] Cameron used command ::maxhit | Player rights = PLAYER	
[4/15/23 11:01AM] Cameron used command ::maxhit | Player rights = PLAYER	
[4/15/23 01:59PM] Cameron used command ::veigar | Player rights = PLAYER	
[4/15/23 02:11PM] Cameron used command ::maxhit | Player rights = PLAYER	
[4/15/23 02:11PM] Cameron used command ::maxhit | Player rights = PLAYER	
[4/15/23 02:29PM] Cameron used command ::veigar | Player rights = PLAYER	
[4/15/23 02:29PM] Cameron used command ::ninetails | Player rights = PLAYER	
[4/15/23 02:29PM] Cameron used command ::merum | Player rights = PLAYER	
[4/15/23 02:30PM] Cameron used command ::meruem | Player rights = PLAYER	
[4/15/23 02:59PM] Cameron used command ::veigar | Player rights = PLAYER	
[4/15/23 03:25PM] Cameron used command ::vboss | Player rights = PLAYER	
[4/15/23 03:28PM] Cameron used command ::vote | Player rights = PLAYER	
[4/15/23 03:29PM] Cameron used command ::veigar | Player rights = PLAYER	
[4/15/23 03:31PM] Cameron used command ::ninetails | Player rights = PLAYER	
[4/15/23 03:33PM] Cameron used command ::golden | Player rights = PLAYER	
[4/15/23 03:34PM] Cameron used command ::golden | Player rights = PLAYER	
[4/15/23 03:54PM] Cameron used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:54PM] Cameron used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:54PM] Cameron used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:54PM] Cameron used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:28PM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:32PM] Cameron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:33PM] Cameron used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:33PM] Cameron used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:58PM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:29PM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:58PM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:28PM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:30PM] Cameron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:30PM] Cameron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:32PM] Cameron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:32PM] Cameron used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:32PM] Cameron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:29PM] Cameron used command ::veiga | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:29PM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:31PM] Cameron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:59PM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:29PM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:58PM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:28PM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30PM] Cameron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:32PM] Cameron used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:32PM] Cameron used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:32PM] Cameron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:42PM] Cameron used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58PM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:18PM] Cameron used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Cameron used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Cameron used command ::::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Cameron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Cameron used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23AM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:28AM] Cameron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:53AM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23AM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23AM] Cameron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:24AM] Cameron used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:41AM] Cameron used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:43AM] Cameron used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:43AM] Cameron used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53AM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:58AM] Cameron used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:42AM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:44AM] Cameron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Cameron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Cameron used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Cameron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Cameron used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53AM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:25AM] Cameron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:53AM] Cameron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:23AM] Cameron used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 11:23AM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Cameron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Cameron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:25AM] Cameron used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:53AM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Cameron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Cameron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:40PM] Cameron used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 01:40PM] Cameron used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Cameron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Cameron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:25PM] Cameron used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:25PM] Cameron used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:54PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
