[4/21/23 02:08PM] Lucy used command ::Ref walkchoas | Player rights = PLAYER	
[4/21/23 02:09PM] Lucy used command ::Ref | Player rights = PLAYER	
[4/21/23 02:16PM] Lucy used command ::training | Player rights = PLAYER	
[4/21/23 02:26PM] Lucy used command ::Freedonor | Player rights = PLAYER	
[4/21/23 02:37PM] Lucy used command ::pos | Player rights = PLAYER	
[4/21/23 02:37PM] Lucy used command ::Shops | Player rights = PLAYER	
[4/21/23 02:37PM] Lucy used command ::shop | Player rights = PLAYER	
[4/21/23 03:03PM] Lucy used command ::Veigar | Player rights = PLAYER	
[4/21/23 03:06PM] Lucy used command ::voteboss | Player rights = PLAYER	
[4/21/23 03:32PM] Lucy used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:02PM] Lucy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:28PM] Lucy used command ::Collectoins | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:32PM] Lucy used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:33PM] Lucy used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:02PM] Lucy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:32PM] Lucy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:33PM] Lucy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:34PM] Lucy used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:02PM] Lucy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:29PM] Lucy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:33PM] Lucy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:34PM] Lucy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35PM] Lucy used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:36PM] Lucy used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:03PM] Lucy used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:26PM] Lucy used command ::Upgrade | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:32PM] Lucy used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:32AM] Lucy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:33AM] Lucy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:34AM] Lucy used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:02AM] Lucy used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:32AM] Lucy used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:02AM] Lucy used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:32AM] Lucy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:02AM] Lucy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:33AM] Lucy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:33AM] Lucy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Lucy used command ::merurm | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Lucy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Lucy used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 08:37AM] Lucy used command ::vboss | Player rights = CLERIC_DONATOR	
