[4/15/23 08:01PM] Kenpachi used command ::ref  | Player rights = PLAYER	
[4/15/23 08:10PM] Kenpachi used command ::train | Player rights = PLAYER	
[4/15/23 08:19PM] Kenpachi used command ::vote | Player rights = PLAYER	
[4/15/23 08:20PM] Kenpachi used command ::reward 1 | Player rights = PLAYER	
[4/15/23 08:20PM] Kenpachi used command ::reward 1 | Player rights = PLAYER	
[4/15/23 08:59PM] Kenpachi used command ::veigar | Player rights = PLAYER	
[4/15/23 09:29PM] Kenpachi used command ::veigar | Player rights = PLAYER	
[4/15/23 09:30PM] Kenpachi used command ::ninetails | Player rights = PLAYER	
[4/15/23 09:31PM] Kenpachi used command ::golden | Player rights = PLAYER	
[4/15/23 09:59PM] Kenpachi used command ::veigar | Player rights = PLAYER	
[4/15/23 10:28PM] Kenpachi used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Kenpachi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Kenpachi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Kenpachi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:54PM] Kenpachi used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:01PM] Kenpachi used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:01PM] Kenpachi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:04PM] Kenpachi used command ::yell come veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:06PM] Kenpachi used command ::yell peep we need you <3 | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:08PM] Kenpachi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:09PM] Kenpachi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:23PM] Kenpachi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:25PM] Kenpachi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:26PM] Kenpachi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Kenpachi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:45PM] Kenpachi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:53PM] Kenpachi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:23AM] Kenpachi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:25AM] Kenpachi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
