[4/18/23 12:59PM] Truu used command ::Ref fpkmerk | Player rights = PLAYER	
[4/18/23 01:01PM] Truu used command ::starter | Player rights = PLAYER	
[4/18/23 01:08PM] Truu used command ::bank | Player rights = PLAYER	
[4/18/23 01:08PM] Truu used command ::bank | Player rights = PLAYER	
[4/18/23 01:08PM] Truu used command ::home | Player rights = PLAYER	
[4/18/23 01:20PM] Truu used command ::home | Player rights = PLAYER	
[4/18/23 01:22PM] Truu used command ::afk | Player rights = PLAYER	
[4/18/23 01:22PM] Truu used command ::shops | Player rights = PLAYER	
[4/18/23 01:22PM] Truu used command ::shop | Player rights = PLAYER	
[4/18/23 01:22PM] Truu used command ::home | Player rights = PLAYER	
[4/20/23 09:51AM] Truu used command ::home | Player rights = PLAYER	
[4/20/23 10:11AM] Truu used command ::home | Player rights = PLAYER	
[4/20/23 10:19AM] Truu used command ::veigar | Player rights = PLAYER	
[4/26/23 09:37AM] Truu used command ::home | Player rights = PLAYER	
[4/26/23 09:43AM] Truu used command ::home | Player rights = PLAYER	
