[4/15/23 12:28PM] Aaron used command ::bank | Player rights = PLAYER	
[4/15/23 01:24PM] Aaron used command ::voted | Player rights = PLAYER	
[4/15/23 01:25PM] Aaron used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 01:25PM] Aaron used command ::reward 1 | Player rights = PLAYER	
[4/15/23 01:30PM] Aaron used command ::veigar | Player rights = PLAYER	
[4/15/23 01:31PM] Aaron used command ::train | Player rights = PLAYER	
[4/15/23 01:38PM] Aaron used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 01:59PM] Aaron used command ::veigar | Player rights = PLAYER	
[4/15/23 02:00PM] Aaron used command ::home | Player rights = PLAYER	
[4/15/23 02:08PM] Aaron used command ::shops | Player rights = PLAYER	
[4/15/23 02:08PM] Aaron used command ::shop | Player rights = PLAYER	
[4/15/23 02:08PM] Aaron used command ::shops | Player rights = PLAYER	
[4/15/23 02:08PM] Aaron used command ::store | Player rights = PLAYER	
[4/15/23 02:28PM] Aaron used command ::veigar | Player rights = PLAYER	
[4/15/23 03:25PM] Aaron used command ::voteboss | Player rights = PLAYER	
[4/15/23 03:28PM] Aaron used command ::veigar | Player rights = PLAYER	
[4/15/23 03:35PM] Aaron used command ::players | Player rights = PLAYER	
[4/15/23 03:43PM] Aaron used command ::junk | Player rights = PLAYER	
[4/15/23 03:43PM] Aaron used command ::shop | Player rights = PLAYER	
[4/15/23 03:43PM] Aaron used command ::junk | Player rights = PLAYER	
[4/15/23 03:48PM] Aaron used command ::pos | Player rights = PLAYER	
[4/15/23 03:59PM] Aaron used command ::veigar | Player rights = PLAYER	
[4/15/23 04:28PM] Aaron used command ::veigar | Player rights = PLAYER	
[4/15/23 04:58PM] Aaron used command ::veigar | Player rights = PLAYER	
[4/15/23 05:01PM] Aaron used command ::home | Player rights = PLAYER	
[4/15/23 05:09PM] Aaron used command ::dr | Player rights = PLAYER	
[4/15/23 05:12PM] Aaron used command ::players | Player rights = PLAYER	
[4/15/23 05:12PM] Aaron used command ::afk | Player rights = PLAYER	
[4/15/23 05:13PM] Aaron used command ::shops | Player rights = PLAYER	
[4/15/23 05:15PM] Aaron used command ::afk | Player rights = PLAYER	
[4/16/23 02:54PM] Aaron used command ::afk | Player rights = PLAYER	
[4/16/23 03:02PM] Aaron used command ::vote | Player rights = PLAYER	
[4/16/23 03:03PM] Aaron used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 07:23AM] Aaron used command ::afk | Player rights = PLAYER	
[4/17/23 07:23AM] Aaron used command ::vote | Player rights = PLAYER	
[4/17/23 07:24AM] Aaron used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 07:33AM] Aaron used command ::Afk | Player rights = PLAYER	
