[4/15/23 09:30PM] Weed used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 09:32PM] Weed used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:56PM] Weed used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:56PM] Weed used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58PM] Weed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:07PM] Weed used command ::altar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Weed used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Weed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Weed used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Weed used command ::veigar\ | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Weed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Weed used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Weed used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:59PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:08PM] Weed used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:09PM] Weed used command ::merum | Player rights = CLERIC_DONATOR	
[4/15/23 11:09PM] Weed used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:24PM] Weed used command ::vegiar | Player rights = CLERIC_DONATOR	
[4/15/23 11:25PM] Weed used command ::vegair | Player rights = CLERIC_DONATOR	
[4/15/23 11:25PM] Weed used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:31PM] Weed used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 11:31PM] Weed used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 11:31PM] Weed used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 11:31PM] Weed used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 11:31PM] Weed used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 12:17AM] Weed used command ::doom | Player rights = CLERIC_DONATOR	
[4/16/23 12:17AM] Weed used command ::doomwatcher | Player rights = CLERIC_DONATOR	
[4/16/23 12:23AM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:27AM] Weed used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 12:28AM] Weed used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/16/23 12:28AM] Weed used command ::claimvotes | Player rights = CLERIC_DONATOR	
[4/16/23 12:28AM] Weed used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 12:28AM] Weed used command ::reward  | Player rights = CLERIC_DONATOR	
[4/16/23 12:28AM] Weed used command ::reward  1 all | Player rights = CLERIC_DONATOR	
[4/16/23 11:13AM] Weed used command ::perks | Player rights = CLERIC_DONATOR	
[4/16/23 11:30AM] Weed used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 11:42AM] Weed used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 11:48AM] Weed used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 11:53AM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:54AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:55AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:23PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:26PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:31PM] Weed used command ::perks | Player rights = CLERIC_DONATOR	
[4/16/23 01:23PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:53PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:57PM] Weed used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 01:57PM] Weed used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 02:17PM] Weed used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:17PM] Weed used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:17PM] Weed used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:17PM] Weed used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:17PM] Weed used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:25PM] Weed used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 05:38PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:52PM] Weed used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 05:59PM] Weed used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 06:22PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 06:24PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 06:26PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 06:28PM] Weed used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 06:53PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:11PM] Weed used command ::toggledrops | Player rights = CLERIC_DONATOR	
[4/16/23 07:12PM] Weed used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 07:14PM] Weed used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 07:23PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:30PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:48PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
