[4/16/23 08:53AM] Happy used command ::veigar | Player rights = PLAYER	
[4/16/23 08:54AM] Happy used command ::Starter | Player rights = PLAYER	
[4/16/23 08:56AM] Happy used command ::vote | Player rights = PLAYER	
[4/16/23 08:58AM] Happy used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 08:58AM] Happy used command ::ref walkchaos | Player rights = PLAYER	
[4/16/23 09:01AM] Happy used command ::train | Player rights = PLAYER	
[4/16/23 09:07AM] Happy used command ::donate | Player rights = PLAYER	
[4/16/23 09:09AM] Happy used command ::voteboss | Player rights = PLAYER	
[4/16/23 09:11AM] Happy used command ::train | Player rights = PLAYER	
[4/16/23 09:15AM] Happy used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Happy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Happy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Happy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Happy used command ::merurem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Happy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Happy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:25AM] Happy used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:25AM] Happy used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:35AM] Happy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:35AM] Happy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:39AM] Happy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:41AM] Happy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:44AM] Happy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Happy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Happy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Happy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:50AM] Happy used command ::yell Ty for spawns! | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53AM] Happy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:54AM] Happy used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 09:58AM] Happy used command ::achievements | Player rights = CLERIC_DONATOR	
[4/16/23 10:04AM] Happy used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 10:05AM] Happy used command ::bis | Player rights = CLERIC_DONATOR	
[4/16/23 10:15AM] Happy used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:15AM] Happy used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] Happy used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:37AM] Happy used command ::dropsoff | Player rights = CLERIC_DONATOR	
[4/16/23 10:37AM] Happy used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 10:47AM] Happy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 10:52AM] Happy used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 10:53AM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:58AM] Happy used command ::achievements | Player rights = CLERIC_DONATOR	
[4/16/23 11:13AM] Happy used command ::achievements | Player rights = CLERIC_DONATOR	
[4/16/23 11:23AM] Happy used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:23AM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Happy used command ::muruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:25AM] Happy used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:29AM] Happy used command ::max | Player rights = CLERIC_DONATOR	
[4/16/23 11:29AM] Happy used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 11:29AM] Happy used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 11:30AM] Happy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 11:46AM] Happy used command ::max | Player rights = CLERIC_DONATOR	
[4/16/23 11:46AM] Happy used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 11:46AM] Happy used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 11:48AM] Happy used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 11:53AM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:03PM] Happy used command ::ents | Player rights = CLERIC_DONATOR	
[4/16/23 12:09PM] Happy used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 12:09PM] Happy used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 12:14PM] Happy used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 12:22PM] Happy used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 12:23PM] Happy used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 12:23PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:24PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:37PM] Happy used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 12:39PM] Happy used command ::achievements | Player rights = CLERIC_DONATOR	
[4/16/23 12:39PM] Happy used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 12:54PM] Happy used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:23PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:39PM] Happy used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 01:40PM] Happy used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 01:44PM] Happy used command ::ents | Player rights = CLERIC_DONATOR	
[4/16/23 01:46PM] Happy used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:46PM] Happy used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 01:52PM] Happy used command ::achievements | Player rights = CLERIC_DONATOR	
[4/16/23 01:52PM] Happy used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:53PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:23PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:23PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
