[4/23/23 05:29AM] Simonrs used command ::reward 1 | Player rights = PLAYER	
[4/23/23 05:29AM] Simonrs used command ::Vote | Player rights = PLAYER	
[4/23/23 05:30AM] Simonrs used command ::Reward 1 | Player rights = PLAYER	
[4/23/23 05:30AM] Simonrs used command ::reward 1 | Player rights = PLAYER	
[4/23/23 05:30AM] Simonrs used command ::claimvote | Player rights = PLAYER	
[4/23/23 05:31AM] Simonrs used command ::bank | Player rights = PLAYER	
[4/23/23 05:34AM] Simonrs used command ::voted | Player rights = PLAYER	
[4/23/23 05:34AM] Simonrs used command ::Claim | Player rights = PLAYER	
[4/23/23 05:34AM] Simonrs used command ::Voting | Player rights = PLAYER	
[4/23/23 05:34AM] Simonrs used command ::claimvotes | Player rights = PLAYER	
[4/23/23 05:34AM] Simonrs used command ::claimvote | Player rights = PLAYER	
[4/23/23 05:34AM] Simonrs used command ::reward | Player rights = PLAYER	
[4/23/23 05:34AM] Simonrs used command ::reward 1 all | Player rights = PLAYER	
[4/23/23 05:34AM] Simonrs used command ::refer | Player rights = PLAYER	
[4/23/23 05:46AM] Simonrs used command ::Train | Player rights = PLAYER	
[4/23/23 06:04AM] Simonrs used command ::Veigar | Player rights = PLAYER	
[4/23/23 06:05AM] Simonrs used command ::ninetails | Player rights = PLAYER	
[4/23/23 06:05AM] Simonrs used command ::meruem | Player rights = PLAYER	
