[4/19/23 06:00PM] Sean used command ::train | Player rights = PLAYER	
[4/19/23 06:06PM] Sean used command ::train | Player rights = PLAYER	
[4/19/23 06:09PM] Sean used command ::train | Player rights = PLAYER	
[4/19/23 06:14PM] Sean used command ::veigar | Player rights = PLAYER	
[4/19/23 06:15PM] Sean used command ::golden | Player rights = PLAYER	
[4/19/23 06:16PM] Sean used command ::golen | Player rights = PLAYER	
[4/19/23 06:16PM] Sean used command ::golden | Player rights = PLAYER	
[4/19/23 06:24PM] Sean used command ::train | Player rights = PLAYER	
[4/19/23 06:28PM] Sean used command ::train | Player rights = PLAYER	
[4/19/23 06:43PM] Sean used command ::veigar | Player rights = PLAYER	
[4/19/23 07:13PM] Sean used command ::veigar | Player rights = PLAYER	
[4/19/23 07:15PM] Sean used command ::ninetails | Player rights = PLAYER	
[4/19/23 07:15PM] Sean used command ::meruem | Player rights = PLAYER	
[4/20/23 05:52PM] Sean used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/20/23 06:19PM] Sean used command ::veigar | Player rights = PLAYER	
[4/20/23 06:20PM] Sean used command ::ninetails | Player rights = PLAYER	
[4/20/23 06:21PM] Sean used command ::golden | Player rights = PLAYER	
[4/20/23 06:40PM] Sean used command ::voteboss | Player rights = PLAYER	
[4/20/23 06:49PM] Sean used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:01AM] Sean used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:01AM] Sean used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:44AM] Sean used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:03AM] Sean used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:01PM] Sean used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:03PM] Sean used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:05PM] Sean used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:05PM] Sean used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
