[4/18/23 12:38PM] Synthex used command ::home | Player rights = PLAYER	
[4/18/23 12:39PM] Synthex used command ::veigar | Player rights = PLAYER	
[4/18/23 12:39PM] Synthex used command ::vote | Player rights = PLAYER	
[4/18/23 12:39PM] Synthex used command ::vote | Player rights = PLAYER	
[4/18/23 12:41PM] Synthex used command ::reward all 1 | Player rights = PLAYER	
[4/18/23 12:41PM] Synthex used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 12:41PM] Synthex used command ::ninetails | Player rights = PLAYER	
[4/18/23 12:43PM] Synthex used command ::home | Player rights = PLAYER	
[4/18/23 12:43PM] Synthex used command ::afk | Player rights = PLAYER	
[4/18/23 01:07PM] Synthex used command ::vote | Player rights = PLAYER	
[4/18/23 01:07PM] Synthex used command ::claim reward 1 | Player rights = PLAYER	
[4/18/23 01:07PM] Synthex used command ::claim all 1 | Player rights = PLAYER	
[4/18/23 01:07PM] Synthex used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 01:07PM] Synthex used command ::reward all 1 | Player rights = PLAYER	
[4/18/23 01:07PM] Synthex used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 01:07PM] Synthex used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 01:08PM] Synthex used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 01:08PM] Synthex used command ::refer | Player rights = PLAYER	
[4/18/23 01:08PM] Synthex used command ::refer | Player rights = PLAYER	
[4/18/23 01:09PM] Synthex used command ::veigar | Player rights = PLAYER	
[4/18/23 01:14PM] Synthex used command ::afk | Player rights = PLAYER	
[4/18/23 01:40PM] Synthex used command ::veigar | Player rights = PLAYER	
[4/18/23 01:43PM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 07:14AM] Synthex used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 07:14AM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 07:22AM] Synthex used command ::vboss | Player rights = PLAYER	
[4/19/23 07:24AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/19/23 07:25AM] Synthex used command ::ninetails | Player rights = PLAYER	
[4/19/23 07:27AM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 07:46AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/19/23 07:47AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/19/23 07:48AM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 08:16AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/19/23 08:18AM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 08:46AM] Synthex used command ::veiga | Player rights = PLAYER	
[4/19/23 08:46AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/19/23 08:48AM] Synthex used command ::ninetails | Player rights = PLAYER	
[4/19/23 08:49AM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 10:37AM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 10:44AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/19/23 10:46AM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 11:14AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/19/23 11:15AM] Synthex used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:16AM] Synthex used command ::meruem | Player rights = PLAYER	
[4/19/23 11:17AM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 11:20AM] Synthex used command ::vboss | Player rights = PLAYER	
[4/19/23 11:22AM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 11:41AM] Synthex used command ::vboss | Player rights = PLAYER	
[4/19/23 11:43AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/19/23 11:44AM] Synthex used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] Synthex used command ::meruem | Player rights = PLAYER	
[4/19/23 11:46AM] Synthex used command ::golden | Player rights = PLAYER	
[4/19/23 11:49AM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 12:13PM] Synthex used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Synthex used command ::vboss | Player rights = PLAYER	
[4/19/23 12:16PM] Synthex used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Synthex used command ::meruem | Player rights = PLAYER	
[4/19/23 12:18PM] Synthex used command ::golden | Player rights = PLAYER	
[4/19/23 12:19PM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 12:44PM] Synthex used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Synthex used command ::vboss | Player rights = PLAYER	
[4/19/23 12:47PM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 12:52PM] Synthex used command ::home | Player rights = PLAYER	
[4/19/23 12:52PM] Synthex used command ::home | Player rights = PLAYER	
[4/19/23 01:08PM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 01:13PM] Synthex used command ::veigar | Player rights = PLAYER	
[4/19/23 01:15PM] Synthex used command ::ninetail | Player rights = PLAYER	
[4/19/23 01:15PM] Synthex used command ::ninetails | Player rights = PLAYER	
[4/19/23 01:15PM] Synthex used command ::meruem | Player rights = PLAYER	
[4/19/23 01:17PM] Synthex used command ::afk | Player rights = PLAYER	
[4/19/23 01:20PM] Synthex used command ::vboss | Player rights = PLAYER	
[4/19/23 01:25PM] Synthex used command ::afk | Player rights = PLAYER	
[4/20/23 07:26AM] Synthex used command ::afk | Player rights = PLAYER	
[4/20/23 07:34AM] Synthex used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 07:34AM] Synthex used command ::vboss | Player rights = PLAYER	
[4/20/23 07:36AM] Synthex used command ::afk | Player rights = PLAYER	
[4/20/23 07:49AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/20/23 07:51AM] Synthex used command ::afk | Player rights = PLAYER	
[4/20/23 08:19AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/20/23 08:21AM] Synthex used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:23AM] Synthex used command ::afk | Player rights = PLAYER	
[4/20/23 08:49AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/20/23 08:51AM] Synthex used command ::afk | Player rights = PLAYER	
[4/20/23 09:19AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/20/23 09:20AM] Synthex used command ::ninetails | Player rights = PLAYER	
