[4/18/23 05:56PM] Thc used command ::vote | Player rights = PLAYER	
[4/18/23 05:57PM] Thc used command ::train | Player rights = PLAYER	
[4/18/23 05:58PM] Thc used command ::reward1 | Player rights = PLAYER	
[4/18/23 05:58PM] Thc used command ::reward 1 | Player rights = PLAYER	
[4/18/23 05:59PM] Thc used command ::Ref | Player rights = PLAYER	
[4/18/23 06:11PM] Thc used command ::veigar | Player rights = PLAYER	
[4/18/23 06:30PM] Thc used command ::bank | Player rights = PLAYER	
[4/18/23 07:36PM] Thc used command ::afk | Player rights = PLAYER	
[4/18/23 07:37PM] Thc used command ::shops | Player rights = PLAYER	
[4/18/23 07:37PM] Thc used command ::shops | Player rights = PLAYER	
[4/18/23 07:37PM] Thc used command ::store | Player rights = PLAYER	
[4/18/23 07:38PM] Thc used command ::Afk | Player rights = PLAYER	
[4/18/23 07:43PM] Thc used command ::ninetails | Player rights = PLAYER	
[4/18/23 07:44PM] Thc used command ::golden | Player rights = PLAYER	
[4/18/23 07:45PM] Thc used command ::golden | Player rights = PLAYER	
[4/18/23 07:45PM] Thc used command ::golden | Player rights = PLAYER	
[4/18/23 07:49PM] Thc used command ::::perk | Player rights = PLAYER	
[4/18/23 08:01PM] Thc used command ::afk | Player rights = PLAYER	
[4/19/23 01:54PM] Thc used command ::afk | Player rights = PLAYER	
[4/19/23 03:50PM] Thc used command ::upgrade | Player rights = PLAYER	
[4/19/23 03:53PM] Thc used command ::vote | Player rights = PLAYER	
[4/19/23 03:54PM] Thc used command ::reward 1 | Player rights = PLAYER	
[4/19/23 05:13PM] Thc used command ::::veigar | Player rights = PLAYER	
[4/19/23 05:13PM] Thc used command ::veigar | Player rights = PLAYER	
[4/19/23 05:15PM] Thc used command ::ninetails | Player rights = PLAYER	
[4/19/23 05:16PM] Thc used command ::meruem | Player rights = PLAYER	
[4/19/23 05:16PM] Thc used command ::goldebn | Player rights = PLAYER	
[4/19/23 05:17PM] Thc used command ::golden | Player rights = PLAYER	
[4/19/23 05:17PM] Thc used command ::home | Player rights = PLAYER	
[4/19/23 07:00PM] Thc used command ::perks | Player rights = PLAYER	
[4/19/23 07:23PM] Thc used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:33PM] Thc used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:33PM] Thc used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:34PM] Thc used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:34PM] Thc used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:34PM] Thc used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:34PM] Thc used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:42PM] Thc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:42PM] Thc used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:43PM] Thc used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:43PM] Thc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:48PM] Thc used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:50PM] Thc used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:50PM] Thc used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:58PM] Thc used command ::god | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:58PM] Thc used command ::godmode | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:58PM] Thc used command ::npnc 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:59PM] Thc used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:59PM] Thc used command ::checkdaily | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:59PM] Thc used command ::checkdaily | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:59PM] Thc used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:00PM] Thc used command ::checkdaily | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:00PM] Thc used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:00PM] Thc used command ::ban Onlyfans | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:53AM] Thc used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:54AM] Thc used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:49AM] Thc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:57AM] Thc used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:15AM] Thc used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:15AM] Thc used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:19AM] Thc used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:19AM] Thc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:20AM] Thc used command ::ninetailas | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:20AM] Thc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:21AM] Thc used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:23AM] Thc used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:24AM] Thc used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:27AM] Thc used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:07PM] Thc used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:08PM] Thc used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:32PM] Thc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:34PM] Thc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
