[4/18/23 05:58PM] 1 3 used command ::ref | Player rights = PLAYER	
[4/18/23 05:59PM] 1 3 used command ::ref | Player rights = PLAYER	
[4/18/23 06:11PM] 1 3 used command ::veigar | Player rights = PLAYER	
[4/18/23 06:14PM] 1 3 used command ::prayer | Player rights = PLAYER	
[4/18/23 06:26PM] 1 3 used command ::kc | Player rights = PLAYER	
[4/18/23 06:30PM] 1 3 used command ::vote | Player rights = PLAYER	
[4/18/23 06:31PM] 1 3 used command ::bank | Player rights = PLAYER	
[4/18/23 06:32PM] 1 3 used command ::reward 1 1 | Player rights = PLAYER	
[4/18/23 06:32PM] 1 3 used command ::reward 1 1 | Player rights = PLAYER	
[4/18/23 06:32PM] 1 3 used command ::reward 1 1 | Player rights = PLAYER	
[4/18/23 06:32PM] 1 3 used command ::reward 1 1 | Player rights = PLAYER	
[4/18/23 06:41PM] 1 3 used command ::veigar | Player rights = PLAYER	
[4/18/23 06:43PM] 1 3 used command ::ninetails | Player rights = PLAYER	
[4/18/23 06:45PM] 1 3 used command ::meruem | Player rights = PLAYER	
[4/18/23 07:12PM] 1 3 used command ::veigar | Player rights = PLAYER	
[4/18/23 07:42PM] 1 3 used command ::progression | Player rights = PLAYER	
[4/18/23 07:43PM] 1 3 used command ::veigar | Player rights = PLAYER	
[4/18/23 07:43PM] 1 3 used command ::ninetails | Player rights = PLAYER	
[4/18/23 07:43PM] 1 3 used command ::ninetails | Player rights = PLAYER	
[4/18/23 07:44PM] 1 3 used command ::golden | Player rights = PLAYER	
[4/18/23 07:45PM] 1 3 used command ::i got 1 dr | Player rights = PLAYER	
[4/18/23 07:49PM] 1 3 used command ::ref fpk merk | Player rights = PLAYER	
[4/18/23 07:50PM] 1 3 used command ::bank | Player rights = PLAYER	
[4/18/23 07:52PM] 1 3 used command ::bank | Player rights = PLAYER	
[4/18/23 08:11PM] 1 3 used command ::veigar | Player rights = PLAYER	
[4/18/23 08:18PM] 1 3 used command ::avatar | Player rights = PLAYER	
[4/18/23 08:21PM] 1 3 used command ::afk | Player rights = PLAYER	
[4/19/23 02:23PM] 1 3 used command ::pos | Player rights = PLAYER	
[4/20/23 04:52PM] 1 3 used command ::store | Player rights = PLAYER	
[4/20/23 08:41PM] 1 3 used command ::vote | Player rights = PLAYER	
[4/20/23 08:43PM] 1 3 used command ::vote | Player rights = PLAYER	
[4/20/23 08:43PM] 1 3 used command :::voted | Player rights = PLAYER	
[4/20/23 08:43PM] 1 3 used command ::claimvote | Player rights = PLAYER	
[4/20/23 08:43PM] 1 3 used command ::claimvote | Player rights = PLAYER	
[4/20/23 08:43PM] 1 3 used command ::voted | Player rights = PLAYER	
[4/20/23 08:43PM] 1 3 used command ::claimvotes | Player rights = PLAYER	
[4/20/23 08:43PM] 1 3 used command ::claim | Player rights = PLAYER	
[4/20/23 08:43PM] 1 3 used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 08:43PM] 1 3 used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 08:44PM] 1 3 used command ::golden | Player rights = PLAYER	
[4/20/23 08:46PM] 1 3 used command ::daily | Player rights = PLAYER	
[4/20/23 08:57PM] 1 3 used command ::bank | Player rights = PLAYER	
[4/20/23 08:57PM] 1 3 used command ::bank | Player rights = PLAYER	
[4/20/23 09:03PM] 1 3 used command ::veigar | Player rights = PLAYER	
[4/20/23 09:10PM] 1 3 used command ::instance | Player rights = PLAYER	
[4/20/23 09:24PM] 1 3 used command ::afk | Player rights = PLAYER	
[4/20/23 09:25PM] 1 3 used command ::shops | Player rights = PLAYER	
[4/20/23 09:25PM] 1 3 used command ::afk | Player rights = PLAYER	
[4/22/23 12:49PM] 1 3 used command ::fps | Player rights = PLAYER	
